date,product,vertical,active_robots,avg_uptime_hours,errors,avg_distance_km
2024-07-06,Sentinel Prime AI,indoor_security,3,10.0,2.0,18.69
2024-07-07,Aido Humanoid,humanoid,8,15.0,14.0,13.96
2024-07-07,Aido Rover,outdoor_patrol,4,15.78,5.0,10.15
2024-07-07,Fari,eldercare,2,16.02,2.0,5.05
2024-07-07,Senpai,education,3,14.51,8.0,4.97
2024-07-07,Sentinel Prime AI,indoor_security,3,14.33,2.0,5.59
2024-07-08,Aido Humanoid,humanoid,8,13.32,8.0,12.91
2024-07-08,Aido Rover,outdoor_patrol,4,11.9,0.0,10.93
2024-07-08,Fari,eldercare,3,14.88,4.0,18.77
2024-07-08,Senpai,education,3,8.58,0.0,14.71
2024-07-08,Sentinel Prime AI,indoor_security,3,12.19,8.0,9.54
2024-07-09,Aido Humanoid,humanoid,8,16.4,5.0,11.2
2024-07-09,Aido Rover,outdoor_patrol,4,13.49,10.0,13.3
2024-07-09,Fari,eldercare,3,13.74,2.0,9.61
2024-07-09,Senpai,education,3,11.9,1.0,14.25
2024-07-09,Sentinel Prime AI,indoor_security,3,13.47,4.0,10.77
2024-07-10,Aido Humanoid,humanoid,8,13.05,8.0,13.85
2024-07-10,Aido Rover,outdoor_patrol,4,12.96,4.0,9.54
2024-07-10,Fari,eldercare,4,12.26,6.0,15.09
2024-07-10,Senpai,education,3,14.98,2.0,7.81
2024-07-10,Sentinel Prime AI,indoor_security,3,14.68,3.0,6.01
2024-07-11,Aido Humanoid,humanoid,8,14.63,5.0,7.92
2024-07-11,Aido Rover,outdoor_patrol,4,15.13,5.0,13.64
2024-07-11,Fari,eldercare,3,16.41,3.0,11.34
2024-07-11,Senpai,education,3,14.15,3.0,10.0
2024-07-11,Sentinel Prime AI,indoor_security,3,16.5,3.0,6.49
2024-07-12,Aido Humanoid,humanoid,8,14.3,12.0,14.85
2024-07-12,Aido Rover,outdoor_patrol,4,12.3,6.0,10.92
2024-07-12,Fari,eldercare,4,9.3,9.0,15.02
2024-07-12,Senpai,education,3,9.09,0.0,8.77
2024-07-12,Sentinel Prime AI,indoor_security,2,10.38,0.0,9.76
2024-07-13,Aido Humanoid,humanoid,6,16.52,3.0,12.23
2024-07-13,Aido Rover,outdoor_patrol,4,16.05,9.0,11.12
2024-07-13,Fari,eldercare,4,13.79,8.0,14.89
2024-07-13,Senpai,education,3,16.65,6.0,11.27
2024-07-13,Sentinel Prime AI,indoor_security,3,19.07,3.0,7.7
2024-07-14,Aido Humanoid,humanoid,8,11.71,13.0,17.68
2024-07-14,Aido Rover,outdoor_patrol,4,16.65,1.0,11.78
2024-07-14,Fari,eldercare,4,16.17,0.0,11.0
2024-07-14,Senpai,education,3,17.09,1.0,8.26
2024-07-14,Sentinel Prime AI,indoor_security,3,17.69,2.0,14.31
2024-07-15,Aido Humanoid,humanoid,6,13.85,11.0,9.71
2024-07-15,Aido Rover,outdoor_patrol,4,13.42,4.0,10.28
2024-07-15,Fari,eldercare,4,11.97,2.0,17.2
2024-07-15,Senpai,education,3,16.82,1.0,17.82
2024-07-15,Sentinel Prime AI,indoor_security,2,10.74,2.0,16.05
2024-07-16,Aido Humanoid,humanoid,8,15.7,8.0,15.42
2024-07-16,Aido Rover,outdoor_patrol,4,13.18,0.0,15.04
2024-07-16,Fari,eldercare,4,18.5,1.0,11.14
2024-07-16,Senpai,education,3,14.16,3.0,20.93
2024-07-16,Sentinel Prime AI,indoor_security,3,17.65,1.0,21.44
2024-07-17,Aido Humanoid,humanoid,8,12.6,8.0,17.22
2024-07-17,Aido Rover,outdoor_patrol,4,13.6,1.0,10.17
2024-07-17,Fari,eldercare,4,15.46,1.0,12.36
2024-07-17,Senpai,education,2,11.16,3.0,13.6
2024-07-17,Sentinel Prime AI,indoor_security,3,15.88,0.0,20.75
2024-07-18,Aido Humanoid,humanoid,7,12.68,14.0,16.92
2024-07-18,Aido Rover,outdoor_patrol,4,16.58,3.0,16.08
2024-07-18,Fari,eldercare,3,13.21,4.0,12.26
2024-07-18,Senpai,education,3,17.47,0.0,8.77
2024-07-18,Sentinel Prime AI,indoor_security,3,10.07,2.0,8.81
2024-07-19,Aido Humanoid,humanoid,7,15.74,10.0,17.37
2024-07-19,Aido Rover,outdoor_patrol,4,15.86,1.0,13.46
2024-07-19,Fari,eldercare,4,14.95,7.0,14.13
2024-07-19,Senpai,education,3,13.45,2.0,7.15
2024-07-19,Sentinel Prime AI,indoor_security,3,17.0,1.0,9.05
2024-07-20,Aido Humanoid,humanoid,8,15.13,4.0,13.91
2024-07-20,Aido Rover,outdoor_patrol,4,15.18,0.0,9.98
2024-07-20,Fari,eldercare,4,18.32,1.0,17.91
2024-07-20,Senpai,education,3,18.65,1.0,17.1
2024-07-20,Sentinel Prime AI,indoor_security,3,16.11,0.0,17.98
2024-07-21,Aido Humanoid,humanoid,7,13.42,7.0,12.4
2024-07-21,Aido Rover,outdoor_patrol,4,15.07,13.0,17.34
2024-07-21,Fari,eldercare,4,15.25,10.0,16.15
2024-07-21,Senpai,education,3,20.52,9.0,17.28
2024-07-21,Sentinel Prime AI,indoor_security,3,14.3,1.0,6.57
2024-07-22,Aido Humanoid,humanoid,8,16.97,24.0,14.83
2024-07-22,Aido Rover,outdoor_patrol,4,14.4,7.0,16.57
2024-07-22,Fari,eldercare,4,16.29,4.0,13.8
2024-07-22,Senpai,education,4,14.31,3.0,13.67
2024-07-22,Sentinel Prime AI,indoor_security,4,11.72,2.0,15.37
2024-07-23,Aido Humanoid,humanoid,9,11.18,2.0,13.07
2024-07-23,Aido Rover,outdoor_patrol,4,16.41,3.0,10.47
2024-07-23,Fari,eldercare,5,17.68,11.0,11.8
2024-07-23,Senpai,education,3,15.68,0.0,16.82
2024-07-23,Sentinel Prime AI,indoor_security,4,15.38,4.0,6.49
2024-07-24,Aido Humanoid,humanoid,9,13.48,8.0,13.92
2024-07-24,Aido Rover,outdoor_patrol,4,17.81,2.0,10.7
2024-07-24,Fari,eldercare,5,13.6,4.0,11.84
2024-07-24,Senpai,education,4,14.6,4.0,12.91
2024-07-24,Sentinel Prime AI,indoor_security,5,14.67,3.0,14.26
2024-07-25,Aido Humanoid,humanoid,10,16.61,18.0,11.63
2024-07-25,Aido Rover,outdoor_patrol,4,18.66,4.0,13.1
2024-07-25,Fari,eldercare,5,14.32,4.0,17.57
2024-07-25,Senpai,education,4,16.02,1.0,10.09
2024-07-25,Sentinel Prime AI,indoor_security,5,13.18,1.0,9.27
2024-07-26,Aido Humanoid,humanoid,10,16.13,6.0,16.32
2024-07-26,Aido Rover,outdoor_patrol,4,13.27,3.0,16.84
2024-07-26,Fari,eldercare,4,18.16,0.0,9.4
2024-07-26,Senpai,education,4,13.28,9.0,19.39
2024-07-26,Sentinel Prime AI,indoor_security,5,14.93,3.0,8.92
2024-07-27,Aido Humanoid,humanoid,10,15.1,13.0,8.03
2024-07-27,Aido Rover,outdoor_patrol,5,16.68,5.0,14.75
2024-07-27,Fari,eldercare,4,16.07,0.0,12.66
2024-07-27,Senpai,education,4,13.09,10.0,14.74
2024-07-27,Sentinel Prime AI,indoor_security,6,14.36,7.0,12.11
2024-07-28,Aido Humanoid,humanoid,9,14.31,5.0,14.24
2024-07-28,Aido Rover,outdoor_patrol,5,13.02,2.0,15.37
2024-07-28,Fari,eldercare,5,11.7,0.0,14.86
2024-07-28,Senpai,education,4,12.71,1.0,14.89
2024-07-28,Sentinel Prime AI,indoor_security,6,15.07,5.0,13.26
2024-07-29,Aido Humanoid,humanoid,11,15.22,13.0,11.05
2024-07-29,Aido Rover,outdoor_patrol,4,13.67,8.0,14.55
2024-07-29,Fari,eldercare,5,12.91,1.0,10.85
2024-07-29,Senpai,education,4,16.98,0.0,17.14
2024-07-29,Sentinel Prime AI,indoor_security,5,13.18,5.0,21.29
2024-07-30,Aido Humanoid,humanoid,11,13.66,7.0,11.06
2024-07-30,Aido Rover,outdoor_patrol,5,12.91,6.0,16.55
2024-07-30,Fari,eldercare,4,9.14,0.0,16.11
2024-07-30,Senpai,education,4,15.53,3.0,18.25
2024-07-30,Sentinel Prime AI,indoor_security,6,13.99,13.0,13.34
2024-07-31,Aido Humanoid,humanoid,11,17.18,6.0,13.97
2024-07-31,Aido Rover,outdoor_patrol,4,13.19,3.0,18.35
2024-07-31,Fari,eldercare,5,13.63,3.0,13.05
2024-07-31,Senpai,education,4,15.36,2.0,10.22
2024-07-31,Sentinel Prime AI,indoor_security,6,13.95,13.0,14.59
2024-08-01,Aido Humanoid,humanoid,11,15.22,12.0,11.84
2024-08-01,Aido Rover,outdoor_patrol,5,12.78,7.0,11.89
2024-08-01,Fari,eldercare,6,10.04,10.0,13.35
2024-08-01,Senpai,education,5,11.86,4.0,12.87
2024-08-01,Sentinel Prime AI,indoor_security,6,11.39,10.0,9.77
2024-08-02,Aido Humanoid,humanoid,9,15.23,7.0,12.78
2024-08-02,Aido Rover,outdoor_patrol,5,16.74,1.0,9.19
2024-08-02,Fari,eldercare,6,13.64,2.0,11.58
2024-08-02,Senpai,education,5,15.05,0.0,14.09
2024-08-02,Sentinel Prime AI,indoor_security,5,17.6,5.0,13.0
2024-08-03,Aido Humanoid,humanoid,10,12.54,11.0,19.4
2024-08-03,Aido Rover,outdoor_patrol,5,18.9,3.0,8.88
2024-08-03,Fari,eldercare,6,15.9,4.0,9.4
2024-08-03,Senpai,education,4,15.97,3.0,21.3
2024-08-03,Sentinel Prime AI,indoor_security,6,13.09,0.0,14.56
2024-08-04,Aido Humanoid,humanoid,10,14.86,8.0,12.43
2024-08-04,Aido Rover,outdoor_patrol,5,17.67,9.0,15.91
2024-08-04,Fari,eldercare,6,17.74,1.0,11.71
2024-08-04,Senpai,education,5,13.85,4.0,10.35
2024-08-04,Sentinel Prime AI,indoor_security,6,15.5,1.0,9.53
2024-08-05,Aido Humanoid,humanoid,11,14.85,16.0,12.47
2024-08-05,Aido Rover,outdoor_patrol,5,16.95,4.0,8.33
2024-08-05,Fari,eldercare,7,16.87,6.0,14.4
2024-08-05,Senpai,education,4,11.72,5.0,13.64
2024-08-05,Sentinel Prime AI,indoor_security,6,14.95,1.0,12.04
2024-08-06,Aido Humanoid,humanoid,11,16.1,6.0,16.28
2024-08-06,Aido Rover,outdoor_patrol,5,11.28,3.0,13.55
2024-08-06,Fari,eldercare,7,14.7,2.0,12.57
2024-08-06,Senpai,education,6,13.47,15.0,14.96
2024-08-06,Sentinel Prime AI,indoor_security,6,15.76,6.0,9.95
2024-08-07,Aido Humanoid,humanoid,10,14.57,15.0,14.56
2024-08-07,Aido Rover,outdoor_patrol,5,15.82,8.0,13.86
2024-08-07,Fari,eldercare,7,14.7,7.0,9.89
2024-08-07,Senpai,education,6,14.3,3.0,7.1
2024-08-07,Sentinel Prime AI,indoor_security,6,13.78,4.0,11.15
2024-08-08,Aido Humanoid,humanoid,11,14.04,13.0,13.17
2024-08-08,Aido Rover,outdoor_patrol,5,18.11,4.0,8.98
2024-08-08,Fari,eldercare,7,16.84,9.0,12.3
2024-08-08,Senpai,education,6,13.94,9.0,13.93
2024-08-08,Sentinel Prime AI,indoor_security,5,12.92,6.0,15.69
2024-08-09,Aido Humanoid,humanoid,10,11.97,7.0,13.06
2024-08-09,Aido Rover,outdoor_patrol,5,15.21,3.0,15.64
2024-08-09,Fari,eldercare,7,17.67,8.0,10.6
2024-08-09,Senpai,education,5,14.09,2.0,13.0
2024-08-09,Sentinel Prime AI,indoor_security,6,18.62,4.0,13.55
2024-08-10,Aido Humanoid,humanoid,12,15.24,10.0,12.92
2024-08-10,Aido Rover,outdoor_patrol,5,13.92,6.0,15.45
2024-08-10,Fari,eldercare,8,16.56,3.0,11.75
2024-08-10,Senpai,education,6,12.13,5.0,15.81
2024-08-10,Sentinel Prime AI,indoor_security,4,15.08,5.0,10.65
2024-08-11,Aido Humanoid,humanoid,12,13.79,13.0,10.99
2024-08-11,Aido Rover,outdoor_patrol,5,14.33,6.0,12.57
2024-08-11,Fari,eldercare,8,12.68,7.0,13.04
2024-08-11,Senpai,education,6,13.65,11.0,13.51
2024-08-11,Sentinel Prime AI,indoor_security,7,16.84,8.0,11.34
2024-08-12,Aido Humanoid,humanoid,11,14.63,20.0,14.04
2024-08-12,Aido Rover,outdoor_patrol,5,16.68,3.0,18.49
2024-08-12,Fari,eldercare,8,15.42,13.0,11.21
2024-08-12,Senpai,education,6,13.72,0.0,10.09
2024-08-12,Sentinel Prime AI,indoor_security,7,12.68,11.0,13.42
2024-08-13,Aido Humanoid,humanoid,10,11.75,7.0,11.22
2024-08-13,Aido Rover,outdoor_patrol,5,15.17,5.0,12.51
2024-08-13,Fari,eldercare,8,14.28,5.0,9.5
2024-08-13,Senpai,education,6,17.68,2.0,11.99
2024-08-13,Sentinel Prime AI,indoor_security,7,16.52,6.0,14.08
2024-08-14,Aido Humanoid,humanoid,13,17.63,3.0,12.5
2024-08-14,Aido Rover,outdoor_patrol,5,14.01,4.0,13.35
2024-08-14,Fari,eldercare,9,13.68,4.0,9.39
2024-08-14,Senpai,education,6,13.49,13.0,7.37
2024-08-14,Sentinel Prime AI,indoor_security,7,17.26,10.0,11.43
2024-08-15,Aido Humanoid,humanoid,12,13.27,6.0,12.14
2024-08-15,Aido Rover,outdoor_patrol,5,15.42,7.0,10.16
2024-08-15,Fari,eldercare,9,12.88,15.0,8.28
2024-08-15,Senpai,education,6,14.31,2.0,19.65
2024-08-15,Sentinel Prime AI,indoor_security,7,11.98,2.0,10.91
2024-08-16,Aido Humanoid,humanoid,10,12.46,5.0,12.05
2024-08-16,Aido Rover,outdoor_patrol,5,13.82,5.0,12.69
2024-08-16,Fari,eldercare,8,15.58,4.0,14.71
2024-08-16,Senpai,education,7,15.57,1.0,15.66
2024-08-16,Sentinel Prime AI,indoor_security,7,15.72,6.0,13.18
2024-08-17,Aido Humanoid,humanoid,13,13.28,2.0,9.98
2024-08-17,Aido Rover,outdoor_patrol,5,13.89,2.0,13.6
2024-08-17,Fari,eldercare,9,14.84,8.0,11.33
2024-08-17,Senpai,education,7,14.26,4.0,11.66
2024-08-17,Sentinel Prime AI,indoor_security,6,10.63,5.0,17.55
2024-08-18,Aido Humanoid,humanoid,13,16.37,18.0,13.31
2024-08-18,Aido Rover,outdoor_patrol,5,14.45,16.0,14.35
2024-08-18,Fari,eldercare,9,16.87,4.0,10.43
2024-08-18,Senpai,education,8,11.5,3.0,11.4
2024-08-18,Sentinel Prime AI,indoor_security,6,15.15,5.0,14.46
2024-08-19,Aido Humanoid,humanoid,13,15.07,17.0,11.5
2024-08-19,Aido Rover,outdoor_patrol,5,17.3,6.0,15.03
2024-08-19,Fari,eldercare,11,13.54,6.0,10.81
2024-08-19,Senpai,education,9,16.02,6.0,15.6
2024-08-19,Sentinel Prime AI,indoor_security,7,14.61,5.0,11.3
2024-08-20,Aido Humanoid,humanoid,14,14.54,13.0,13.64
2024-08-20,Aido Rover,outdoor_patrol,5,13.8,4.0,11.43
2024-08-20,Fari,eldercare,9,15.58,3.0,11.02
2024-08-20,Senpai,education,9,11.51,2.0,14.17
2024-08-20,Sentinel Prime AI,indoor_security,7,13.83,4.0,10.48
2024-08-21,Aido Humanoid,humanoid,14,14.32,4.0,10.99
2024-08-21,Aido Rover,outdoor_patrol,5,14.32,4.0,7.14
2024-08-21,Fari,eldercare,10,15.56,9.0,15.22
2024-08-21,Senpai,education,9,13.14,4.0,11.35
2024-08-21,Sentinel Prime AI,indoor_security,7,15.62,4.0,14.14
2024-08-22,Aido Humanoid,humanoid,14,14.32,42.0,16.9
2024-08-22,Aido Rover,outdoor_patrol,6,17.56,2.0,18.16
2024-08-22,Fari,eldercare,10,15.88,7.0,12.15
2024-08-22,Senpai,education,10,14.57,8.0,14.57
2024-08-22,Sentinel Prime AI,indoor_security,7,16.78,3.0,12.83
2024-08-23,Aido Humanoid,humanoid,13,16.37,11.0,12.23
2024-08-23,Aido Rover,outdoor_patrol,6,11.53,5.0,11.42
2024-08-23,Fari,eldercare,11,16.84,6.0,11.17
2024-08-23,Senpai,education,10,17.84,7.0,12.98
2024-08-23,Sentinel Prime AI,indoor_security,7,14.13,5.0,12.28
2024-08-24,Aido Humanoid,humanoid,14,14.17,4.0,10.74
2024-08-24,Aido Rover,outdoor_patrol,6,14.34,6.0,12.32
2024-08-24,Fari,eldercare,10,13.72,7.0,15.93
2024-08-24,Senpai,education,10,14.71,3.0,11.9
2024-08-24,Sentinel Prime AI,indoor_security,6,14.04,14.0,13.46
2024-08-25,Aido Humanoid,humanoid,12,17.62,23.0,12.5
2024-08-25,Aido Rover,outdoor_patrol,6,16.02,12.0,10.74
2024-08-25,Fari,eldercare,9,16.8,5.0,8.73
2024-08-25,Senpai,education,9,13.6,9.0,10.63
2024-08-25,Sentinel Prime AI,indoor_security,7,13.16,6.0,13.13
2024-08-26,Aido Humanoid,humanoid,13,15.81,6.0,16.42
2024-08-26,Aido Rover,outdoor_patrol,7,14.43,15.0,17.83
2024-08-26,Fari,eldercare,11,13.5,7.0,10.97
2024-08-26,Senpai,education,10,14.77,11.0,13.28
2024-08-26,Sentinel Prime AI,indoor_security,7,13.22,7.0,8.83
2024-08-27,Aido Humanoid,humanoid,14,15.93,14.0,12.18
