ticket_key,cycle_time_hours,ticket_id,severity,category,opened_date,product,region,country,week7_resolution_hours,is_resolved,weekday,dispatched,tier1_queue_on_entry
40,6.708399999999999,TKT-000040,Critical,battery,2025-11-27,Senpai,North America,Canada,5.21,True,Thursday,0,1
41,1.7579,TKT-000041,Medium,software,2024-06-01,Aido Rover,North America,Canada,67.28,True,Saturday,0,0
42,31.1382,TKT-000042,Medium,navigation,2025-01-30,Fari,Europe,Germany,25.28,True,Thursday,1,0
43,47.218,TKT-000043,High,battery,2024-09-10,Aido Humanoid,North America,United States,36.87,True,Tuesday,1,1
44,101.777,TKT-000044,Low,mechanical,2025-02-15,Aido Rover,Europe,United Kingdom,,False,Saturday,1,1
45,7.1151,TKT-000045,Medium,mechanical,2024-12-12,Sentinel Prime AI,North America,United States,34.83,True,Thursday,0,0
46,43.017900000000004,TKT-000046,Low,software,2026-05-20,Aido Humanoid,APAC,Australia,,False,Wednesday,0,0
47,25.3419,TKT-000047,Medium,connectivity,2025-03-17,Aido Humanoid,North America,United States,31.68,True,Monday,0,1
48,100.0952,TKT-000048,High,battery,2025-05-17,Aido Humanoid,Europe,Germany,10.09,True,Saturday,1,1
49,4.2543999999999995,TKT-000049,High,navigation,2025-09-16,Senpai,North America,United States,11.71,True,Tuesday,0,0
50,52.347699999999996,TKT-000050,Low,connectivity,2025-09-01,Sentinel Prime AI,APAC,Japan,46.19,True,Monday,0,1
51,7.275399999999999,TKT-000051,Medium,navigation,2025-03-28,Senpai,Europe,United Kingdom,,False,Friday,0,0
52,99.2126,TKT-000052,Low,battery,2025-10-05,Senpai,Europe,Germany,84.8,True,Sunday,1,0
53,4.8609,TKT-000053,Medium,navigation,2025-04-15,Aido Humanoid,Europe,United Kingdom,,False,Tuesday,0,1
54,3.0963000000000003,TKT-000054,High,navigation,2026-05-20,Sentinel Prime AI,North America,Canada,7.75,True,Wednesday,0,0
55,9.202200000000001,TKT-000055,Medium,connectivity,2025-10-12,Senpai,APAC,Australia,47.93,True,Sunday,0,1
56,60.7667,TKT-000056,Medium,battery,2026-02-19,Senpai,APAC,Australia,93.51,True,Thursday,1,0
57,30.052699999999998,TKT-000057,Medium,mechanical,2024-08-17,Aido Humanoid,APAC,Australia,,False,Saturday,1,1
58,11.838099999999999,TKT-000058,High,software,2024-08-15,Senpai,APAC,Japan,13.21,True,Thursday,0,0
59,4.6669,TKT-000059,Medium,software,2026-04-05,Sentinel Prime AI,APAC,Japan,12.78,True,Sunday,0,0
60,5.83,TKT-000060,High,software,2025-12-20,Aido Humanoid,North America,Canada,20.74,True,Saturday,0,1
61,11.2016,TKT-000061,High,navigation,2025-07-21,Aido Humanoid,APAC,Australia,15.8,True,Monday,0,0
62,9.36,TKT-000062,Low,software,2026-05-24,Aido Humanoid,North America,Canada,171.3,True,Sunday,0,1
63,56.8269,TKT-000063,Medium,navigation,2026-03-28,Sentinel Prime AI,North America,United States,41.48,True,Saturday,1,2
64,5.891299999999999,TKT-000064,High,battery,2025-10-13,Sentinel Prime AI,Europe,Germany,24.1,True,Monday,0,0
65,6.257300000000001,TKT-000065,Critical,battery,2025-12-18,Fari,North America,United States,8.67,True,Thursday,0,4
66,24.5445,TKT-000066,Medium,battery,2025-02-15,Sentinel Prime AI,Europe,United Kingdom,58.92,True,Saturday,1,0
67,2.1911,TKT-000067,High,mechanical,2024-10-16,Aido Rover,North America,Canada,14.52,True,Wednesday,0,0
68,72.6005,TKT-000068,Medium,mechanical,2025-08-29,Senpai,APAC,Japan,,False,Friday,1,0
69,20.0313,TKT-000069,Critical,mechanical,2025-06-06,Aido Humanoid,APAC,Japan,8.96,True,Friday,1,0
70,42.7505,TKT-000070,Low,software,2025-04-06,Senpai,Europe,United Kingdom,71.43,True,Sunday,0,1
71,22.0351,TKT-000071,Critical,mechanical,2025-03-26,Fari,APAC,Australia,6.16,True,Wednesday,1,1
72,5.1108,TKT-000072,Medium,navigation,2026-01-28,Sentinel Prime AI,APAC,Australia,26.31,True,Wednesday,0,1
73,3.6889,TKT-000073,Medium,software,2024-12-25,Sentinel Prime AI,APAC,Japan,99.01,True,Wednesday,0,1
74,5.9896,TKT-000074,High,connectivity,2025-04-15,Aido Rover,Europe,United Kingdom,35.36,True,Tuesday,0,0
75,28.467100000000002,TKT-000075,Medium,navigation,2024-12-20,Aido Rover,North America,United States,41.87,True,Friday,1,0
76,6.7651,TKT-000076,Medium,software,2025-12-12,Aido Rover,APAC,Australia,28.44,True,Friday,0,0
77,4.5791,TKT-000077,Low,battery,2026-01-21,Sentinel Prime AI,APAC,Australia,110.82,True,Wednesday,0,0
78,3.9297,TKT-000078,Medium,software,2025-05-06,Aido Rover,APAC,Japan,38.17,True,Tuesday,0,0
79,4.386100000000001,TKT-000079,Medium,software,2025-01-27,Aido Rover,North America,United States,16.9,True,Monday,0,0
80,3.0836,TKT-000080,Medium,battery,2025-10-07,Aido Humanoid,North America,Canada,52.71,True,Tuesday,0,0
81,30.157400000000003,TKT-000081,Medium,battery,2025-03-03,Senpai,North America,United States,,False,Monday,1,0
82,5.8938999999999995,TKT-000082,Medium,software,2026-05-22,Aido Rover,Europe,Germany,27.0,True,Friday,0,0
83,41.6185,TKT-000083,Low,navigation,2025-01-15,Aido Rover,North America,United States,37.39,True,Wednesday,1,0
84,12.249500000000001,TKT-000084,Low,software,2024-12-30,Senpai,Europe,Germany,69.32,True,Monday,0,1
85,38.1618,TKT-000085,Medium,navigation,2025-01-15,Fari,North America,Canada,,False,Wednesday,1,1
86,1.1635,TKT-000086,Critical,connectivity,2025-01-02,Aido Humanoid,APAC,Australia,6.15,True,Thursday,0,0
87,11.0202,TKT-000087,High,navigation,2025-05-17,Aido Rover,APAC,Australia,1.92,True,Saturday,0,0
88,4.7904,TKT-000088,Medium,connectivity,2025-03-27,Aido Rover,North America,United States,20.32,True,Thursday,0,0
89,38.878,TKT-000089,Low,battery,2026-02-03,Senpai,North America,United States,,False,Tuesday,1,0
90,72.8032,TKT-000090,High,mechanical,2025-04-24,Fari,Europe,Germany,11.97,True,Thursday,1,0
91,9.7262,TKT-000091,Low,connectivity,2026-04-28,Aido Rover,North America,Canada,,False,Tuesday,0,1
92,3.4829999999999997,TKT-000092,High,mechanical,2025-03-11,Aido Rover,North America,Canada,29.4,True,Tuesday,0,3
93,6.6099000000000006,TKT-000093,High,connectivity,2024-08-07,Sentinel Prime AI,North America,Canada,26.4,True,Wednesday,0,0
94,3.0815,TKT-000094,High,navigation,2024-10-12,Aido Humanoid,Europe,United Kingdom,25.21,True,Saturday,0,1
95,3.1473,TKT-000095,High,software,2025-05-31,Sentinel Prime AI,APAC,Australia,25.86,True,Saturday,0,0
96,2.9239,TKT-000096,Medium,software,2025-06-20,Sentinel Prime AI,North America,Canada,11.46,True,Friday,0,1
97,5.6545000000000005,TKT-000097,Medium,navigation,2025-04-30,Aido Humanoid,APAC,Japan,,False,Wednesday,0,1
98,2.7854,TKT-000098,High,navigation,2026-02-13,Aido Humanoid,North America,United States,14.73,True,Friday,0,0
99,4.5245999999999995,TKT-000099,Medium,software,2026-05-03,Sentinel Prime AI,North America,United States,49.01,True,Sunday,0,1
100,73.2428,TKT-000100,Medium,battery,2024-06-22,Senpai,Europe,Germany,66.76,True,Saturday,1,0
101,7.291499999999999,TKT-000101,Medium,connectivity,2025-01-20,Fari,North America,Canada,50.33,True,Monday,0,0
102,6.0991,TKT-000102,Low,software,2026-02-16,Sentinel Prime AI,APAC,Japan,197.23,True,Monday,0,0
103,3.1349,TKT-000103,High,software,2025-01-03,Fari,North America,Canada,17.24,True,Friday,0,1
104,6.7674,TKT-000104,High,mechanical,2024-10-19,Aido Humanoid,APAC,Australia,41.06,True,Saturday,0,2
105,2.698,TKT-000105,High,software,2025-12-03,Aido Rover,North America,United States,20.55,True,Wednesday,0,1
106,7.368400000000001,TKT-000106,Medium,battery,2025-11-22,Sentinel Prime AI,Europe,United Kingdom,,False,Saturday,0,0
107,6.1182,TKT-000107,Medium,navigation,2025-02-24,Sentinel Prime AI,North America,United States,65.68,True,Monday,0,1
108,75.1455,TKT-000108,Medium,mechanical,2026-02-04,Sentinel Prime AI,Europe,Germany,74.56,True,Wednesday,1,0
109,30.038399999999996,TKT-000109,High,mechanical,2024-12-03,Senpai,APAC,Japan,28.55,True,Tuesday,1,3
110,9.2543,TKT-000110,Low,software,2024-07-23,Aido Rover,North America,United States,81.95,True,Tuesday,0,2
111,54.024,TKT-000111,Medium,battery,2025-06-17,Senpai,North America,United States,65.8,True,Tuesday,1,0
112,4.1583,TKT-000112,Medium,connectivity,2026-05-22,Sentinel Prime AI,North America,United States,12.67,True,Friday,0,0
113,9.2916,TKT-000113,Medium,software,2024-06-21,Aido Humanoid,Europe,Germany,,False,Friday,0,0
114,9.0822,TKT-000114,Medium,connectivity,2024-09-06,Fari,North America,United States,94.18,True,Friday,0,0
115,4.6051,TKT-000115,Medium,navigation,2025-03-23,Senpai,APAC,Australia,41.19,True,Sunday,0,0
116,35.744,TKT-000116,Low,navigation,2025-01-25,Senpai,Europe,Germany,95.65,True,Saturday,1,2
117,5.4754000000000005,TKT-000117,Medium,mechanical,2025-11-21,Sentinel Prime AI,Europe,United Kingdom,71.77,True,Friday,0,0
118,15.3179,TKT-000118,High,battery,2025-09-02,Aido Rover,North America,United States,22.09,True,Tuesday,1,0
119,5.6959,TKT-000119,Low,battery,2025-04-25,Aido Rover,APAC,Japan,110.43,True,Friday,0,0
120,7.370100000000001,TKT-000120,Low,software,2025-11-14,Sentinel Prime AI,North America,United States,,False,Friday,0,0
121,9.9287,TKT-000121,Medium,connectivity,2024-09-29,Sentinel Prime AI,APAC,Australia,43.81,True,Sunday,0,0
122,3.6144000000000003,TKT-000122,Medium,navigation,2026-03-09,Aido Rover,Europe,United Kingdom,68.42,True,Monday,0,0
123,2.1201000000000003,TKT-000123,Critical,software,2026-03-13,Aido Humanoid,North America,United States,12.85,True,Friday,0,0
124,9.8215,TKT-000124,Medium,software,2024-10-23,Aido Humanoid,Europe,Germany,42.43,True,Wednesday,0,1
125,21.105,TKT-000125,Medium,mechanical,2025-11-17,Sentinel Prime AI,APAC,Japan,12.15,True,Monday,1,2
126,18.3732,TKT-000126,Low,software,2025-12-07,Sentinel Prime AI,North America,United States,78.14,True,Sunday,0,0
127,25.540100000000002,TKT-000127,High,battery,2024-06-09,Aido Rover,North America,Canada,31.82,True,Sunday,1,2
128,22.0431,TKT-000128,Low,mechanical,2024-07-26,Aido Rover,North America,Canada,,False,Friday,0,0
129,5.2951,TKT-000129,Medium,navigation,2026-04-30,Aido Humanoid,North America,United States,,False,Thursday,0,2
130,19.6866,TKT-000130,Medium,navigation,2024-10-09,Aido Rover,Europe,United Kingdom,33.32,True,Wednesday,1,0
131,151.3238,TKT-000131,Medium,battery,2025-05-30,Fari,APAC,Australia,46.48,True,Friday,1,0
132,3.9306,TKT-000132,Medium,connectivity,2026-05-31,Aido Humanoid,Europe,United Kingdom,68.07,True,Sunday,0,1
133,68.5413,TKT-000133,Low,connectivity,2026-01-27,Sentinel Prime AI,Europe,Germany,109.7,True,Tuesday,1,0
134,83.1239,TKT-000134,High,mechanical,2024-10-21,Aido Rover,North America,United States,11.49,True,Monday,1,0
135,15.4467,TKT-000135,Medium,mechanical,2025-11-18,Sentinel Prime AI,North America,Canada,43.35,True,Tuesday,1,1
136,22.907799999999998,TKT-000136,Low,software,2025-11-03,Aido Humanoid,North America,Canada,69.95,True,Monday,0,0
137,9.729099999999999,TKT-000137,Medium,navigation,2024-10-22,Aido Humanoid,Europe,Germany,10.75,True,Tuesday,0,0
138,44.3952,TKT-000138,Medium,battery,2025-10-27,Sentinel Prime AI,North America,United States,23.61,True,Monday,1,0
139,3.1456,TKT-000139,High,software,2025-10-23,Senpai,Europe,Germany,18.43,True,Thursday,0,0
140,4.8967,TKT-000140,Medium,battery,2025-08-21,Sentinel Prime AI,North America,United States,51.66,True,Thursday,0,0
141,2.0749,TKT-000141,Low,connectivity,2024-09-09,Aido Rover,APAC,Australia,102.57,True,Monday,0,1
142,4.2887,TKT-000142,High,battery,2024-10-05,Aido Rover,APAC,Japan,22.8,True,Saturday,0,0
143,24.6294,TKT-000143,Critical,mechanical,2026-02-28,Sentinel Prime AI,Europe,United Kingdom,7.24,True,Saturday,1,0
144,60.769999999999996,TKT-000144,Low,mechanical,2024-06-05,Sentinel Prime AI,North America,United States,154.25,True,Wednesday,1,0
145,98.63470000000001,TKT-000145,Low,navigation,2024-12-13,Aido Humanoid,North America,Canada,60.03,True,Friday,1,0
146,4.090199999999999,TKT-000146,Medium,navigation,2024-10-28,Aido Rover,North America,United States,73.92,True,Monday,0,0
147,187.4479,TKT-000147,Medium,battery,2025-05-04,Fari,APAC,Australia,65.78,True,Sunday,1,3
148,33.4271,TKT-000148,Medium,mechanical,2026-01-14,Aido Humanoid,Europe,Germany,,False,Wednesday,1,1
149,8.450099999999999,TKT-000149,Medium,navigation,2025-02-09,Aido Rover,APAC,Australia,40.9,True,Sunday,0,0
150,1.6589999999999998,TKT-000150,Medium,connectivity,2025-12-12,Fari,North America,United States,71.88,True,Friday,0,0
151,10.4894,TKT-000151,Medium,connectivity,2024-09-24,Fari,North America,United States,,False,Tuesday,0,0
152,4.944500000000001,TKT-000152,Critical,connectivity,2025-05-04,Fari,Europe,United Kingdom,6.55,True,Sunday,0,3
153,3.0896,TKT-000153,Medium,mechanical,2026-01-08,Aido Humanoid,Europe,United Kingdom,8.15,True,Thursday,0,0
154,6.9088,TKT-000154,Medium,mechanical,2026-05-18,Fari,North America,United States,51.59,True,Monday,0,1
155,2.7804,TKT-000155,Medium,navigation,2024-10-13,Senpai,APAC,Japan,14.79,True,Sunday,0,1
156,2.8635,TKT-000156,Low,software,2025-02-24,Fari,Europe,Germany,120.88,True,Monday,0,0
157,18.207,TKT-000157,Medium,software,2024-07-21,Fari,Europe,United Kingdom,29.45,True,Sunday,0,1
158,16.9255,TKT-000158,Medium,mechanical,2026-01-19,Aido Rover,North America,United States,56.39,True,Monday,1,0
159,39.6408,TKT-000159,High,connectivity,2026-01-01,Aido Humanoid,APAC,Australia,13.18,True,Thursday,1,0
160,2.7614,TKT-000160,Low,software,2024-08-28,Sentinel Prime AI,North America,United States,73.23,True,Wednesday,0,0
161,34.2009,TKT-000161,High,battery,2025-07-27,Senpai,APAC,Australia,11.31,True,Sunday,1,1
162,10.059999999999999,TKT-000162,High,navigation,2026-02-24,Sentinel Prime AI,APAC,Australia,15.89,True,Tuesday,0,0
163,3.3203000000000005,TKT-000163,High,navigation,2025-02-16,Sentinel Prime AI,North America,Canada,19.61,True,Sunday,0,0
164,3.8284,TKT-000164,High,connectivity,2025-04-02,Fari,North America,Canada,29.2,True,Wednesday,0,0
165,5.4073,TKT-000165,High,software,2025-03-03,Senpai,Europe,United Kingdom,21.65,True,Monday,0,0
166,17.3823,TKT-000166,Medium,mechanical,2025-12-30,Aido Humanoid,North America,United States,47.31,True,Tuesday,0,3
167,7.8294,TKT-000167,High,navigation,2024-06-19,Sentinel Prime AI,North America,Canada,18.89,True,Wednesday,0,0
168,7.0916,TKT-000168,High,navigation,2025-12-22,Sentinel Prime AI,North America,Canada,24.18,True,Monday,0,0
169,103.93169999999999,TKT-000169,Low,battery,2026-03-09,Sentinel Prime AI,APAC,Japan,130.67,True,Monday,1,0
170,29.8445,TKT-000170,Medium,mechanical,2026-04-12,Aido Rover,Europe,Germany,,False,Sunday,1,0
171,8.841099999999999,TKT-000171,Medium,software,2025-04-28,Aido Rover,APAC,Australia,55.98,True,Monday,0,0
172,58.8946,TKT-000172,Low,mechanical,2025-03-09,Senpai,Europe,United Kingdom,,False,Sunday,1,0
173,5.3938999999999995,TKT-000173,High,software,2024-10-07,Sentinel Prime AI,Europe,United Kingdom,28.17,True,Monday,0,1
174,2.3369,TKT-000174,Critical,mechanical,2025-04-20,Senpai,APAC,Japan,,False,Sunday,0,1
175,53.11710000000001,TKT-000175,Low,battery,2025-02-20,Sentinel Prime AI,North America,United States,188.55,True,Thursday,1,0
176,4.9069,TKT-000176,Medium,mechanical,2026-03-17,Aido Rover,Europe,Germany,62.35,True,Tuesday,0,0
177,5.237,TKT-000177,Medium,software,2026-02-04,Fari,APAC,Australia,25.92,True,Wednesday,0,1
178,7.9491,TKT-000178,High,connectivity,2026-02-14,Aido Rover,APAC,Australia,30.09,True,Saturday,0,0
179,19.4405,TKT-000179,Medium,connectivity,2025-02-07,Fari,North America,United States,1.16,True,Friday,0,1
180,3.7971,TKT-000180,Low,navigation,2026-01-19,Aido Rover,Europe,United Kingdom,150.85,True,Monday,0,0
181,2.6542,TKT-000181,Medium,mechanical,2026-03-25,Fari,North America,United States,,False,Wednesday,0,1
182,6.8949,TKT-000182,Low,connectivity,2025-09-06,Fari,North America,United States,55.03,True,Saturday,0,0
183,18.617,TKT-000183,Medium,software,2025-09-14,Aido Rover,Europe,Germany,45.02,True,Sunday,0,1
184,4.0306,TKT-000184,Medium,navigation,2025-06-18,Aido Humanoid,Europe,Germany,67.54,True,Wednesday,0,1
185,44.1154,TKT-000185,Critical,battery,2025-06-19,Aido Humanoid,Europe,Germany,,False,Thursday,1,0
186,5.8385,TKT-000186,Medium,connectivity,2025-05-08,Fari,North America,United States,103.83,True,Thursday,0,0
187,3.646,TKT-000187,High,navigation,2026-02-08,Sentinel Prime AI,North America,United States,31.07,True,Sunday,0,0
188,13.452300000000001,TKT-000188,High,software,2025-06-21,Senpai,North America,United States,,False,Saturday,0,0
189,3.6755,TKT-000189,High,mechanical,2025-07-26,Senpai,APAC,Japan,16.37,True,Saturday,0,0
190,174.6467,TKT-000190,Medium,mechanical,2024-11-05,Fari,Europe,United Kingdom,39.92,True,Tuesday,1,0
191,40.5061,TKT-000191,Medium,battery,2024-10-14,Senpai,Europe,Germany,66.07,True,Monday,1,0
192,19.3242,TKT-000192,Medium,connectivity,2024-10-03,Aido Humanoid,North America,United States,63.88,True,Thursday,0,1
193,5.4419,TKT-000193,High,software,2025-07-22,Sentinel Prime AI,APAC,Japan,1.14,True,Tuesday,0,0
194,5.6943,TKT-000194,Medium,navigation,2026-05-08,Sentinel Prime AI,North America,Canada,25.93,True,Friday,0,2
195,25.4358,TKT-000195,Medium,software,2024-06-19,Sentinel Prime AI,North America,United States,65.91,True,Wednesday,0,1
196,40.2844,TKT-000196,Low,mechanical,2025-03-04,Aido Rover,APAC,Japan,62.3,True,Tuesday,1,1
197,6.5981000000000005,TKT-000197,High,software,2024-09-01,Fari,APAC,Japan,11.52,True,Sunday,0,1
198,103.10440000000001,TKT-000198,Low,battery,2025-05-07,Aido Humanoid,Europe,Germany,158.37,True,Wednesday,1,1
199,19.9203,TKT-000199,Medium,mechanical,2025-12-21,Sentinel Prime AI,North America,United States,,False,Sunday,1,0
200,3.6865999999999994,TKT-000200,Medium,battery,2026-01-28,Sentinel Prime AI,North America,Canada,58.2,True,Wednesday,0,0
201,14.9605,TKT-000201,High,battery,2025-09-09,Sentinel Prime AI,North America,United States,19.13,True,Tuesday,1,3
202,3.6399,TKT-000202,High,battery,2025-07-22,Aido Humanoid,Europe,United Kingdom,25.43,True,Tuesday,0,0
203,59.188900000000004,TKT-000203,Critical,battery,2024-07-19,Aido Humanoid,Europe,United Kingdom,2.33,True,Friday,1,0
204,23.5857,TKT-000204,Critical,battery,2024-11-03,Aido Rover,North America,Canada,8.97,True,Sunday,1,0
205,26.723999999999997,TKT-000205,Medium,battery,2024-09-19,Senpai,North America,Canada,67.35,True,Thursday,1,1
206,89.8714,TKT-000206,Low,mechanical,2025-09-07,Aido Rover,APAC,Australia,98.63,True,Sunday,1,2
207,18.6771,TKT-000207,Low,software,2025-04-02,Fari,Europe,United Kingdom,,False,Wednesday,0,1
208,9.8493,TKT-000208,Low,connectivity,2025-03-13,Fari,North America,United States,82.12,True,Thursday,0,1
209,18.0341,TKT-000209,High,connectivity,2025-07-15,Aido Rover,APAC,Australia,15.93,True,Tuesday,1,0
210,23.4884,TKT-000210,Medium,battery,2025-06-21,Aido Rover,North America,Canada,64.55,True,Saturday,1,1
211,54.3984,TKT-000211,Medium,navigation,2025-08-28,Fari,North America,United States,56.33,True,Thursday,1,0
212,156.1723,TKT-000212,Low,battery,2024-09-19,Aido Humanoid,Europe,Germany,53.45,True,Thursday,1,0
213,12.0153,TKT-000213,Low,connectivity,2025-06-29,Sentinel Prime AI,North America,Canada,121.86,True,Sunday,0,1
214,18.092200000000002,TKT-000214,Medium,software,2025-04-18,Senpai,Europe,Germany,,False,Friday,0,0
215,64.03320000000001,TKT-000215,Medium,mechanical,2025-06-14,Senpai,North America,Canada,,False,Saturday,1,1
216,16.2544,TKT-000216,Low,software,2025-11-26,Fari,Europe,Germany,90.16,True,Wednesday,0,0
217,19.2473,TKT-000217,Medium,navigation,2026-03-19,Sentinel Prime AI,North America,United States,41.94,True,Thursday,0,0
218,6.0766,TKT-000218,Low,connectivity,2026-03-15,Aido Rover,Europe,Germany,,False,Sunday,0,1
219,13.181099999999999,TKT-000219,High,software,2025-11-27,Fari,APAC,Australia,25.85,True,Thursday,0,0
220,6.691,TKT-000220,Critical,connectivity,2025-04-30,Fari,Europe,United Kingdom,7.96,True,Wednesday,0,4
221,44.2975,TKT-000221,Low,navigation,2024-09-26,Aido Rover,North America,United States,26.15,True,Thursday,0,0
222,21.3861,TKT-000222,Medium,mechanical,2026-04-26,Sentinel Prime AI,North America,United States,12.0,True,Sunday,1,1
223,86.6441,TKT-000223,Medium,mechanical,2025-02-14,Aido Humanoid,North America,Canada,25.44,True,Friday,1,0
224,1.2789,TKT-000224,Medium,mechanical,2024-08-09,Fari,North America,United States,38.47,True,Friday,0,0
225,4.9175,TKT-000225,Medium,software,2025-08-05,Aido Rover,APAC,Australia,29.46,True,Tuesday,0,0
226,4.3242,TKT-000226,Medium,connectivity,2025-12-12,Fari,APAC,Australia,16.81,True,Friday,0,0
227,1.9663,TKT-000227,High,navigation,2025-12-31,Aido Humanoid,Europe,Germany,24.83,True,Wednesday,0,0
228,33.9715,TKT-000228,Medium,mechanical,2025-05-14,Sentinel Prime AI,Europe,United Kingdom,15.22,True,Wednesday,1,0
229,74.4028,TKT-000229,Low,mechanical,2026-02-20,Senpai,North America,United States,24.61,True,Friday,1,0
230,24.393,TKT-000230,Medium,navigation,2026-02-20,Aido Humanoid,APAC,Japan,38.92,True,Friday,1,0
231,134.04579999999999,TKT-000231,Low,battery,2024-07-21,Fari,APAC,Japan,56.27,True,Sunday,1,0
232,89.7697,TKT-000232,Low,navigation,2024-07-19,Aido Rover,APAC,Japan,102.27,True,Friday,1,0
233,5.1211,TKT-000233,High,software,2026-05-14,Fari,APAC,Australia,31.77,True,Thursday,0,0
234,20.01,TKT-000234,High,mechanical,2025-05-22,Sentinel Prime AI,Europe,Germany,9.09,True,Thursday,1,0
235,58.1489,TKT-000235,Medium,mechanical,2026-01-20,Aido Rover,APAC,Australia,54.49,True,Tuesday,1,0
236,6.6846,TKT-000236,Low,software,2025-01-04,Fari,North America,Canada,170.2,True,Saturday,0,0
