ticket_key,opened_date_key,closed_date_key,product_key,customer_key,geography_key,ticket_id,severity,category,resolution_hours,is_resolved,csat_score
124,20241023,20241024,5,49,9,TKT-000124,Medium,software,42.43,True,5
125,20251117,20251117,3,942,11,TKT-000125,Medium,mechanical,12.15,True,5
126,20251207,20251210,3,199,4,TKT-000126,Low,software,78.14,True,5
127,20240609,20240610,4,825,6,TKT-000127,High,battery,31.82,True,4
128,20240726,,4,117,6,TKT-000128,Low,mechanical,,False,
129,20260430,,5,36,3,TKT-000129,Medium,navigation,,False,
130,20241009,20241010,4,417,8,TKT-000130,Medium,navigation,33.32,True,4
131,20250530,20250531,1,219,13,TKT-000131,Medium,battery,46.48,True,5
132,20260531,20260531,5,702,8,TKT-000132,Medium,connectivity,68.07,True,4
133,20260127,20260131,3,952,10,TKT-000133,Low,connectivity,109.7,True,4
134,20241021,20241021,4,839,2,TKT-000134,High,mechanical,11.49,True,5
135,20251118,20251119,3,853,6,TKT-000135,Medium,mechanical,43.35,True,3
136,20251103,20251105,5,864,6,TKT-000136,Low,software,69.95,True,1
137,20241022,20241022,5,349,9,TKT-000137,Medium,navigation,10.75,True,1
138,20251027,20251027,3,710,4,TKT-000138,Medium,battery,23.61,True,4
139,20251023,20251023,2,683,10,TKT-000139,High,software,18.43,True,3
140,20250821,20250823,3,80,2,TKT-000140,Medium,battery,51.66,True,3
141,20240909,20240913,4,434,14,TKT-000141,Low,connectivity,102.57,True,5
142,20241005,20241005,4,769,12,TKT-000142,High,battery,22.8,True,1
143,20260228,20260228,3,773,8,TKT-000143,Critical,mechanical,7.24,True,4
144,20240605,20240611,3,605,1,TKT-000144,Low,mechanical,154.25,True,5
145,20241213,20241215,5,524,6,TKT-000145,Low,navigation,60.03,True,4
146,20241028,20241031,4,793,1,TKT-000146,Medium,navigation,73.92,True,4
147,20250504,20250506,1,811,13,TKT-000147,Medium,battery,65.78,True,5
148,20260114,,5,279,9,TKT-000148,Medium,mechanical,,False,
149,20250209,20250210,4,910,14,TKT-000149,Medium,navigation,40.9,True,4
150,20251212,20251214,1,759,3,TKT-000150,Medium,connectivity,71.88,True,5
151,20240924,,1,141,4,TKT-000151,Medium,connectivity,,False,
152,20250504,20250504,1,336,7,TKT-000152,Critical,connectivity,6.55,True,3
153,20260108,20260108,5,545,8,TKT-000153,Medium,mechanical,8.15,True,4
154,20260518,20260520,1,776,2,TKT-000154,Medium,mechanical,51.59,True,4
155,20241013,20241013,2,88,12,TKT-000155,Medium,navigation,14.79,True,4
156,20250224,20250301,1,624,10,TKT-000156,Low,software,120.88,True,5
157,20240721,20240722,1,476,7,TKT-000157,Medium,software,29.45,True,4
158,20260119,20260121,4,515,1,TKT-000158,Medium,mechanical,56.39,True,5
159,20260101,20260101,5,301,14,TKT-000159,High,connectivity,13.18,True,3
160,20240828,20240831,3,905,2,TKT-000160,Low,software,73.23,True,5
161,20250727,20250727,2,622,14,TKT-000161,High,battery,11.31,True,3
162,20260224,20260224,3,500,14,TKT-000162,High,navigation,15.89,True,3
163,20250216,20250216,3,830,5,TKT-000163,High,navigation,19.61,True,5
164,20250402,20250403,1,995,5,TKT-000164,High,connectivity,29.2,True,4
165,20250303,20250303,2,921,8,TKT-000165,High,software,21.65,True,4
166,20251230,20251231,5,580,2,TKT-000166,Medium,mechanical,47.31,True,5
167,20240619,20240619,3,880,6,TKT-000167,High,navigation,18.89,True,2
168,20251222,20251223,3,402,6,TKT-000168,High,navigation,24.18,True,3
169,20260309,20260314,3,740,12,TKT-000169,Low,battery,130.67,True,5
170,20260412,,4,379,9,TKT-000170,Medium,mechanical,,False,
171,20250428,20250430,4,884,14,TKT-000171,Medium,software,55.98,True,4
172,20250309,,2,458,7,TKT-000172,Low,mechanical,,False,
173,20241007,20241008,3,400,7,TKT-000173,High,software,28.17,True,3
174,20250420,,2,961,12,TKT-000174,Critical,mechanical,,False,
175,20250220,20250227,3,154,4,TKT-000175,Low,battery,188.55,True,5
176,20260317,20260319,4,617,9,TKT-000176,Medium,mechanical,62.35,True,4
177,20260204,20260205,1,766,13,TKT-000177,Medium,software,25.92,True,5
178,20260214,20260215,4,808,14,TKT-000178,High,connectivity,30.09,True,3
179,20250207,20250207,1,481,1,TKT-000179,Medium,connectivity,1.16,True,4
180,20260119,20260125,4,417,8,TKT-000180,Low,navigation,150.85,True,4
181,20260325,,1,858,1,TKT-000181,Medium,mechanical,,False,
182,20250906,20250908,1,427,4,TKT-000182,Low,connectivity,55.03,True,5
183,20250914,20250915,4,392,10,TKT-000183,Medium,software,45.02,True,5
184,20250618,20250620,5,999,10,TKT-000184,Medium,navigation,67.54,True,5
185,20250619,,5,113,9,TKT-000185,Critical,battery,,False,
186,20250508,20250512,1,259,3,TKT-000186,Medium,connectivity,103.83,True,4
187,20260208,20260209,3,560,4,TKT-000187,High,navigation,31.07,True,5
188,20250621,,2,286,2,TKT-000188,High,software,,False,
189,20250726,20250726,2,368,11,TKT-000189,High,mechanical,16.37,True,3
190,20241105,20241106,1,163,7,TKT-000190,Medium,mechanical,39.92,True,1
191,20241014,20241016,2,224,9,TKT-000191,Medium,battery,66.07,True,5
192,20241003,20241005,5,26,1,TKT-000192,Medium,connectivity,63.88,True,5
193,20250722,20250722,3,631,12,TKT-000193,High,software,1.14,True,5
194,20260508,20260509,3,765,6,TKT-000194,Medium,navigation,25.93,True,4
195,20240619,20240621,3,259,3,TKT-000195,Medium,software,65.91,True,3
196,20250304,20250306,4,205,11,TKT-000196,Low,mechanical,62.3,True,3
197,20240901,20240901,1,857,11,TKT-000197,High,software,11.52,True,3
198,20250507,20250513,5,173,9,TKT-000198,Low,battery,158.37,True,4
199,20251221,,3,320,3,TKT-000199,Medium,mechanical,,False,
200,20260128,20260130,3,692,5,TKT-000200,Medium,battery,58.2,True,4
201,20250909,20250909,3,937,1,TKT-000201,High,battery,19.13,True,5
202,20250722,20250723,5,990,8,TKT-000202,High,battery,25.43,True,4
203,20240719,20240719,5,724,7,TKT-000203,Critical,battery,2.33,True,4
204,20241103,20241103,4,362,5,TKT-000204,Critical,battery,8.97,True,5
205,20240919,20240921,2,692,5,TKT-000205,Medium,battery,67.35,True,5
206,20250907,20250911,4,19,13,TKT-000206,Low,mechanical,98.63,True,4
207,20250402,,1,909,7,TKT-000207,Low,software,,False,
208,20250313,20250316,1,639,3,TKT-000208,Low,connectivity,82.12,True,4
209,20250715,20250715,4,363,13,TKT-000209,High,connectivity,15.93,True,4
210,20250621,20250623,4,510,5,TKT-000210,Medium,battery,64.55,True,4
211,20250828,20250830,1,720,3,TKT-000211,Medium,navigation,56.33,True,2
212,20240919,20240921,5,208,9,TKT-000212,Low,battery,53.45,True,5
213,20250629,20250704,3,692,5,TKT-000213,Low,connectivity,121.86,True,4
214,20250418,,2,102,10,TKT-000214,Medium,software,,False,
215,20250614,,2,384,6,TKT-000215,Medium,mechanical,,False,
216,20251126,20251129,1,268,10,TKT-000216,Low,software,90.16,True,3
217,20260319,20260320,3,898,2,TKT-000217,Medium,navigation,41.94,True,5
218,20260315,,4,6,10,TKT-000218,Low,connectivity,,False,
219,20251127,20251128,1,811,13,TKT-000219,High,software,25.85,True,1
220,20250430,20250430,1,399,7,TKT-000220,Critical,connectivity,7.96,True,4
221,20240926,20240927,4,141,4,TKT-000221,Low,navigation,26.15,True,2
222,20260426,20260426,3,40,2,TKT-000222,Medium,mechanical,12.0,True,5
223,20250214,20250215,5,488,6,TKT-000223,Medium,mechanical,25.44,True,5
224,20240809,20240810,1,948,2,TKT-000224,Medium,mechanical,38.47,True,3
225,20250805,20250806,4,100,13,TKT-000225,Medium,software,29.46,True,3
226,20251212,20251212,1,837,13,TKT-000226,Medium,connectivity,16.81,True,2
227,20251231,20260101,5,412,9,TKT-000227,High,navigation,24.83,True,4
228,20250514,20250514,3,767,7,TKT-000228,Medium,mechanical,15.22,True,3
229,20260220,20260221,2,286,2,TKT-000229,Low,mechanical,24.61,True,2
230,20260220,20260221,5,613,11,TKT-000230,Medium,navigation,38.92,True,4
231,20240721,20240723,1,438,11,TKT-000231,Low,battery,56.27,True,4
232,20240719,20240723,4,569,12,TKT-000232,Low,navigation,102.27,True,5
233,20260514,20260515,1,204,13,TKT-000233,High,software,31.77,True,5
234,20250522,20250522,3,211,9,TKT-000234,High,mechanical,9.09,True,4
235,20260120,20260122,4,544,13,TKT-000235,Medium,mechanical,54.49,True,5
236,20250104,20250111,1,488,6,TKT-000236,Low,software,170.2,True,4
237,20250205,20250208,3,902,3,TKT-000237,Medium,mechanical,89.1,True,4
238,20240929,20241002,2,955,7,TKT-000238,Medium,mechanical,77.09,True,2
239,20260523,20260523,3,640,12,TKT-000239,High,battery,18.77,True,4
240,20241224,20241226,3,312,14,TKT-000240,Medium,software,66.38,True,4
241,20241005,20241005,4,370,12,TKT-000241,High,connectivity,12.15,True,5
242,20260222,20260225,5,784,13,TKT-000242,Low,battery,95.36,True,2
243,20240820,20240821,5,563,13,TKT-000243,Medium,mechanical,40.45,True,4
244,20250208,20250212,1,637,12,TKT-000244,Low,navigation,102.02,True,4
245,20250708,20250712,3,560,4,TKT-000245,Low,software,112.56,True,5
246,20251012,20251013,5,264,4,TKT-000246,Medium,battery,24.92,True,3
247,20241109,20241116,3,880,6,TKT-000247,Low,mechanical,190.31,True,4
248,20250624,20250626,2,218,3,TKT-000248,Medium,mechanical,50.99,True,5
249,20241125,,2,354,13,TKT-000249,Critical,navigation,,False,
250,20250623,20250624,1,38,4,TKT-000250,Medium,mechanical,34.17,True,4
251,20250331,20250403,4,581,8,TKT-000251,Low,battery,94.2,True,4
252,20250811,,3,513,3,TKT-000252,Medium,connectivity,,False,
253,20251031,20251105,3,466,10,TKT-000253,Low,mechanical,124.93,True,4
254,20260126,20260127,4,556,12,TKT-000254,High,connectivity,28.74,True,3
255,20241026,20241026,5,614,7,TKT-000255,High,software,22.27,True,1
256,20260423,20260426,5,278,9,TKT-000256,Low,software,74.27,True,3
257,20251223,,1,111,2,TKT-000257,Medium,navigation,,False,
258,20241230,20250101,4,931,9,TKT-000258,Medium,battery,53.18,True,4
259,20260405,20260407,4,870,11,TKT-000259,Medium,battery,53.68,True,4
260,20260404,20260404,1,576,11,TKT-000260,High,mechanical,11.3,True,3
261,20260501,20260501,2,783,5,TKT-000261,High,navigation,23.92,True,5
262,20240824,20240826,4,71,3,TKT-000262,Medium,software,53.92,True,4
263,20241119,20241120,3,198,2,TKT-000263,Medium,navigation,41.87,True,5
264,20260305,20260305,4,758,10,TKT-000264,High,connectivity,21.03,True,2
265,20240801,20240802,3,646,1,TKT-000265,Low,navigation,28.68,True,5
266,20250416,20250416,2,366,2,TKT-000266,High,connectivity,6.81,True,2
267,20250219,20250219,3,160,11,TKT-000267,High,connectivity,6.47,True,4
268,20250901,20250903,5,475,9,TKT-000268,Medium,software,55.98,True,4
269,20241119,20241121,3,543,9,TKT-000269,Medium,connectivity,64.09,True,5
270,20240709,20240712,2,579,8,TKT-000270,Low,software,92.18,True,4
271,20260510,,2,287,13,TKT-000271,High,navigation,,False,
272,20250808,20250811,3,372,9,TKT-000272,Medium,navigation,77.57,True,4
273,20260523,20260523,2,722,1,TKT-000273,High,navigation,4.92,True,4
274,20260531,20260531,1,180,8,TKT-000274,Low,navigation,42.6,True,5
275,20260414,20260416,3,840,4,TKT-000275,Medium,navigation,53.37,True,5
276,20241225,20241225,1,622,14,TKT-000276,High,mechanical,15.28,True,5
277,20250328,20250329,2,876,14,TKT-000277,Medium,navigation,38.1,True,4
278,20260317,20260318,5,462,4,TKT-000278,High,navigation,28.6,True,3
279,20240927,20240930,3,434,14,TKT-000279,Low,battery,72.29,True,4
280,20251007,20251010,1,170,3,TKT-000280,Low,battery,76.16,True,4
281,20250614,,4,292,10,TKT-000281,Medium,mechanical,,False,
282,20250906,20250906,5,993,7,TKT-000282,High,software,22.68,True,4
283,20260325,20260329,5,13,5,TKT-000283,Low,mechanical,112.02,True,2
284,20250712,20250713,5,427,4,TKT-000284,Medium,connectivity,30.49,True,4
285,20240715,20240716,3,445,14,TKT-000285,Medium,navigation,46.32,True,4
286,20251019,20251021,2,585,7,TKT-000286,Medium,mechanical,53.72,True,4
287,20250306,20250306,4,509,13,TKT-000287,Medium,software,20.92,True,4
288,20260331,20260406,1,822,5,TKT-000288,Low,connectivity,145.85,True,2
289,20260228,,1,69,12,TKT-000289,High,software,,False,
290,20250316,20250318,2,705,12,TKT-000290,Low,navigation,71.04,True,4
291,20260204,20260204,5,93,13,TKT-000291,High,software,23.26,True,3
292,20250705,20250707,5,344,8,TKT-000292,Medium,navigation,71.35,True,3
293,20240916,20240918,2,130,4,TKT-000293,Medium,battery,67.38,True,3
294,20241014,20241015,1,197,7,TKT-000294,Medium,connectivity,31.49,True,4
295,20260210,20260211,1,214,6,TKT-000295,Medium,mechanical,47.24,True,4
296,20240712,20240712,1,85,10,TKT-000296,Critical,battery,9.69,True,4
297,20241016,20241017,2,788,11,TKT-000297,Medium,navigation,25.36,True,3
298,20241203,20241203,1,302,1,TKT-000298,Medium,software,13.78,True,5
299,20260407,20260411,5,104,9,TKT-000299,Low,connectivity,117.95,True,4
300,20241128,20241130,5,619,14,TKT-000300,Medium,navigation,60.15,True,4
301,20260511,20260511,2,682,5,TKT-000301,Critical,connectivity,2.59,True,4
302,20240831,20240901,4,123,7,TKT-000302,High,mechanical,29.28,True,5
303,20250825,20250825,3,669,3,TKT-000303,High,mechanical,15.59,True,4
304,20241107,20241109,3,182,2,TKT-000304,Medium,battery,59.88,True,4
305,20240724,20240724,5,626,6,TKT-000305,Medium,battery,14.85,True,4
306,20240604,,2,537,5,TKT-000306,Medium,connectivity,,False,
307,20251024,20251028,4,359,7,TKT-000307,Low,navigation,103.44,True,4
308,20251023,20251023,2,680,7,TKT-000308,High,connectivity,17.26,True,4
309,20250504,20250506,5,563,13,TKT-000309,Low,connectivity,66.11,True,4
310,20240720,20240720,5,163,7,TKT-000310,High,battery,15.14,True,2
311,20251214,20251215,5,781,1,TKT-000311,High,connectivity,30.01,True,1
312,20260119,20260120,2,854,3,TKT-000312,Medium,software,37.83,True,5
313,20241024,20241026,2,199,4,TKT-000313,Low,connectivity,49.44,True,4
314,20260220,,1,255,7,TKT-000314,Medium,battery,,False,
315,20260126,20260128,2,103,2,TKT-000315,Medium,mechanical,54.75,True,5
316,20240716,20240717,1,683,10,TKT-000316,Medium,mechanical,27.77,True,3
317,20250123,20250123,2,631,12,TKT-000317,Critical,battery,4.33,True,4
318,20241006,,3,777,10,TKT-000318,Medium,battery,,False,
319,20241217,20241218,1,231,12,TKT-000319,Medium,connectivity,32.73,True,5
320,20251024,20251025,5,124,10,TKT-000320,Low,navigation,34.7,True,3
321,20240717,20240718,2,909,7,TKT-000321,High,software,25.37,True,5
322,20250801,20250801,2,819,1,TKT-000322,High,software,23.49,True,3
323,20240607,20240609,5,488,6,TKT-000323,Medium,connectivity,69.46,True,4
324,20241224,20241226,3,930,5,TKT-000324,Medium,software,52.21,True,5
325,20260324,20260328,2,751,5,TKT-000325,Medium,mechanical,98.43,True,5
326,20251220,20251220,1,628,8,TKT-000326,High,mechanical,10.94,True,4
327,20250326,20250329,1,182,2,TKT-000327,Medium,connectivity,81.34,True,5
328,20260116,20260116,1,705,12,TKT-000328,Critical,software,3.2,True,5
329,20250302,20250305,5,436,8,TKT-000329,Low,navigation,74.75,True,5
330,20251108,20251109,4,99,5,TKT-000330,High,navigation,38.08,True,1
331,20250427,20250429,1,325,6,TKT-000331,Medium,navigation,56.71,True,5
332,20251224,20251224,1,857,11,TKT-000332,Critical,software,3.55,True,5
333,20250629,20250704,2,370,12,TKT-000333,Low,mechanical,124.41,True,5
334,20250814,20250817,5,708,11,TKT-000334,Medium,battery,74.33,True,4
335,20241004,20241004,4,250,6,TKT-000335,High,battery,23.87,True,4
336,20241205,,5,17,7,TKT-000336,Low,navigation,,False,
337,20250621,,3,737,6,TKT-000337,Critical,battery,,False,
338,20240815,20240817,3,932,12,TKT-000338,Medium,software,64.56,True,4
339,20250722,20250722,3,665,4,TKT-000339,Medium,navigation,9.81,True,4
340,20240927,20240927,4,534,13,TKT-000340,High,navigation,17.6,True,4
341,20240903,20240904,2,11,8,TKT-000341,Medium,software,29.96,True,5
342,20240811,20240815,2,103,2,TKT-000342,Low,navigation,97.39,True,5
343,20250409,20250412,2,874,13,TKT-000343,Low,software,75.1,True,2
344,20241024,20241024,1,272,12,TKT-000344,High,software,20.63,True,4
345,20260308,20260316,5,966,8,TKT-000345,Low,navigation,199.58,True,4
346,20240915,20240916,1,103,2,TKT-000346,High,battery,26.59,True,4
347,20250510,20250511,1,608,10,TKT-000347,Medium,navigation,39.19,True,4
348,20260303,20260304,1,931,9,TKT-000348,Medium,battery,45.78,True,4
349,20251013,20251014,5,20,8,TKT-000349,Medium,mechanical,40.39,True,3
350,20240918,20240920,4,112,11,TKT-000350,Medium,connectivity,66.33,True,5
351,20250717,20250718,5,455,1,TKT-000351,Medium,mechanical,47.15,True,1
352,20251115,20251117,2,41,7,TKT-000352,Medium,software,55.21,True,5
353,20250424,20250427,1,689,1,TKT-000353,Low,battery,89.58,True,5
354,20241025,20241027,4,354,13,TKT-000354,Medium,connectivity,70.53,True,1
355,20260215,20260219,1,615,5,TKT-000355,Low,software,105.33,True,4
356,20251105,20251105,4,266,5,TKT-000356,Critical,navigation,9.06,True,4
357,20260203,20260206,4,574,14,TKT-000357,Medium,battery,74.69,True,4
358,20240804,,5,546,5,TKT-000358,Medium,connectivity,,False,
359,20260411,20260411,4,17,7,TKT-000359,High,mechanical,11.04,True,2
360,20260520,20260520,1,216,14,TKT-000360,High,battery,15.79,True,4
361,20250120,20250126,4,460,13,TKT-000361,Low,navigation,152.86,True,4
362,20251102,20251107,3,77,10,TKT-000362,Low,software,136.17,True,5
363,20251125,20251127,1,278,9,TKT-000363,Low,navigation,55.0,True,4
364,20260101,20260102,2,412,9,TKT-000364,Medium,battery,38.37,True,2
365,20240907,20240907,5,581,8,TKT-000365,High,software,12.95,True,3
366,20240609,20240612,1,395,1,TKT-000366,Low,connectivity,81.61,True,5
367,20250501,20250501,3,121,4,TKT-000367,High,battery,18.71,True,4
368,20251220,20251221,5,426,10,TKT-000368,Medium,navigation,34.63,True,4
369,20250323,20250325,2,690,1,TKT-000369,Medium,battery,65.87,True,5
370,20250302,20250302,3,493,9,TKT-000370,Critical,mechanical,8.08,True,2
371,20260408,,3,274,3,TKT-000371,High,mechanical,,False,
372,20241124,20241124,5,446,12,TKT-000372,Critical,battery,4.26,True,4
