date_key,full_date,year,quarter,month,month_name,day,day_of_week,day_name,is_weekend
20240717,2024-07-17,2024,3,7,July,17,3,Wednesday,False
20240718,2024-07-18,2024,3,7,July,18,4,Thursday,False
20240719,2024-07-19,2024,3,7,July,19,5,Friday,False
20240720,2024-07-20,2024,3,7,July,20,6,Saturday,True
20240721,2024-07-21,2024,3,7,July,21,7,Sunday,True
20240722,2024-07-22,2024,3,7,July,22,1,Monday,False
20240723,2024-07-23,2024,3,7,July,23,2,Tuesday,False
20240724,2024-07-24,2024,3,7,July,24,3,Wednesday,False
20240725,2024-07-25,2024,3,7,July,25,4,Thursday,False
20240726,2024-07-26,2024,3,7,July,26,5,Friday,False
20240727,2024-07-27,2024,3,7,July,27,6,Saturday,True
20240728,2024-07-28,2024,3,7,July,28,7,Sunday,True
20240729,2024-07-29,2024,3,7,July,29,1,Monday,False
20240730,2024-07-30,2024,3,7,July,30,2,Tuesday,False
20240731,2024-07-31,2024,3,7,July,31,3,Wednesday,False
20240801,2024-08-01,2024,3,8,August,1,4,Thursday,False
20240802,2024-08-02,2024,3,8,August,2,5,Friday,False
20240803,2024-08-03,2024,3,8,August,3,6,Saturday,True
20240804,2024-08-04,2024,3,8,August,4,7,Sunday,True
20240805,2024-08-05,2024,3,8,August,5,1,Monday,False
20240806,2024-08-06,2024,3,8,August,6,2,Tuesday,False
20240807,2024-08-07,2024,3,8,August,7,3,Wednesday,False
20240808,2024-08-08,2024,3,8,August,8,4,Thursday,False
20240809,2024-08-09,2024,3,8,August,9,5,Friday,False
20240810,2024-08-10,2024,3,8,August,10,6,Saturday,True
20240811,2024-08-11,2024,3,8,August,11,7,Sunday,True
20240812,2024-08-12,2024,3,8,August,12,1,Monday,False
20240813,2024-08-13,2024,3,8,August,13,2,Tuesday,False
20240814,2024-08-14,2024,3,8,August,14,3,Wednesday,False
20240815,2024-08-15,2024,3,8,August,15,4,Thursday,False
20240816,2024-08-16,2024,3,8,August,16,5,Friday,False
20240817,2024-08-17,2024,3,8,August,17,6,Saturday,True
20240818,2024-08-18,2024,3,8,August,18,7,Sunday,True
20240819,2024-08-19,2024,3,8,August,19,1,Monday,False
20240820,2024-08-20,2024,3,8,August,20,2,Tuesday,False
20240821,2024-08-21,2024,3,8,August,21,3,Wednesday,False
20240822,2024-08-22,2024,3,8,August,22,4,Thursday,False
20240823,2024-08-23,2024,3,8,August,23,5,Friday,False
20240824,2024-08-24,2024,3,8,August,24,6,Saturday,True
20240825,2024-08-25,2024,3,8,August,25,7,Sunday,True
20240826,2024-08-26,2024,3,8,August,26,1,Monday,False
20240827,2024-08-27,2024,3,8,August,27,2,Tuesday,False
20240828,2024-08-28,2024,3,8,August,28,3,Wednesday,False
20240829,2024-08-29,2024,3,8,August,29,4,Thursday,False
20240830,2024-08-30,2024,3,8,August,30,5,Friday,False
20240831,2024-08-31,2024,3,8,August,31,6,Saturday,True
20240901,2024-09-01,2024,3,9,September,1,7,Sunday,True
20240902,2024-09-02,2024,3,9,September,2,1,Monday,False
20240903,2024-09-03,2024,3,9,September,3,2,Tuesday,False
20240904,2024-09-04,2024,3,9,September,4,3,Wednesday,False
20240905,2024-09-05,2024,3,9,September,5,4,Thursday,False
20240906,2024-09-06,2024,3,9,September,6,5,Friday,False
20240907,2024-09-07,2024,3,9,September,7,6,Saturday,True
20240908,2024-09-08,2024,3,9,September,8,7,Sunday,True
20240909,2024-09-09,2024,3,9,September,9,1,Monday,False
20240910,2024-09-10,2024,3,9,September,10,2,Tuesday,False
20240911,2024-09-11,2024,3,9,September,11,3,Wednesday,False
20240912,2024-09-12,2024,3,9,September,12,4,Thursday,False
20240913,2024-09-13,2024,3,9,September,13,5,Friday,False
20240914,2024-09-14,2024,3,9,September,14,6,Saturday,True
20240915,2024-09-15,2024,3,9,September,15,7,Sunday,True
20240916,2024-09-16,2024,3,9,September,16,1,Monday,False
20240917,2024-09-17,2024,3,9,September,17,2,Tuesday,False
20240918,2024-09-18,2024,3,9,September,18,3,Wednesday,False
20240919,2024-09-19,2024,3,9,September,19,4,Thursday,False
20240920,2024-09-20,2024,3,9,September,20,5,Friday,False
20240921,2024-09-21,2024,3,9,September,21,6,Saturday,True
20240922,2024-09-22,2024,3,9,September,22,7,Sunday,True
20240923,2024-09-23,2024,3,9,September,23,1,Monday,False
20240924,2024-09-24,2024,3,9,September,24,2,Tuesday,False
20240925,2024-09-25,2024,3,9,September,25,3,Wednesday,False
20240926,2024-09-26,2024,3,9,September,26,4,Thursday,False
20240927,2024-09-27,2024,3,9,September,27,5,Friday,False
20240928,2024-09-28,2024,3,9,September,28,6,Saturday,True
20240929,2024-09-29,2024,3,9,September,29,7,Sunday,True
20240930,2024-09-30,2024,3,9,September,30,1,Monday,False
20241001,2024-10-01,2024,4,10,October,1,2,Tuesday,False
20241002,2024-10-02,2024,4,10,October,2,3,Wednesday,False
20241003,2024-10-03,2024,4,10,October,3,4,Thursday,False
20241004,2024-10-04,2024,4,10,October,4,5,Friday,False
20241005,2024-10-05,2024,4,10,October,5,6,Saturday,True
20241006,2024-10-06,2024,4,10,October,6,7,Sunday,True
20241007,2024-10-07,2024,4,10,October,7,1,Monday,False
20241008,2024-10-08,2024,4,10,October,8,2,Tuesday,False
20241009,2024-10-09,2024,4,10,October,9,3,Wednesday,False
20241010,2024-10-10,2024,4,10,October,10,4,Thursday,False
20241011,2024-10-11,2024,4,10,October,11,5,Friday,False
20241012,2024-10-12,2024,4,10,October,12,6,Saturday,True
20241013,2024-10-13,2024,4,10,October,13,7,Sunday,True
20241014,2024-10-14,2024,4,10,October,14,1,Monday,False
20241015,2024-10-15,2024,4,10,October,15,2,Tuesday,False
20241016,2024-10-16,2024,4,10,October,16,3,Wednesday,False
20241017,2024-10-17,2024,4,10,October,17,4,Thursday,False
20241018,2024-10-18,2024,4,10,October,18,5,Friday,False
20241019,2024-10-19,2024,4,10,October,19,6,Saturday,True
20241020,2024-10-20,2024,4,10,October,20,7,Sunday,True
20241021,2024-10-21,2024,4,10,October,21,1,Monday,False
20241022,2024-10-22,2024,4,10,October,22,2,Tuesday,False
20241023,2024-10-23,2024,4,10,October,23,3,Wednesday,False
20241024,2024-10-24,2024,4,10,October,24,4,Thursday,False
20241025,2024-10-25,2024,4,10,October,25,5,Friday,False
20241026,2024-10-26,2024,4,10,October,26,6,Saturday,True
20241027,2024-10-27,2024,4,10,October,27,7,Sunday,True
20241028,2024-10-28,2024,4,10,October,28,1,Monday,False
20241029,2024-10-29,2024,4,10,October,29,2,Tuesday,False
20241030,2024-10-30,2024,4,10,October,30,3,Wednesday,False
20241031,2024-10-31,2024,4,10,October,31,4,Thursday,False
20241101,2024-11-01,2024,4,11,November,1,5,Friday,False
20241102,2024-11-02,2024,4,11,November,2,6,Saturday,True
20241103,2024-11-03,2024,4,11,November,3,7,Sunday,True
20241104,2024-11-04,2024,4,11,November,4,1,Monday,False
20241105,2024-11-05,2024,4,11,November,5,2,Tuesday,False
20241106,2024-11-06,2024,4,11,November,6,3,Wednesday,False
20241107,2024-11-07,2024,4,11,November,7,4,Thursday,False
20241108,2024-11-08,2024,4,11,November,8,5,Friday,False
20241109,2024-11-09,2024,4,11,November,9,6,Saturday,True
20241110,2024-11-10,2024,4,11,November,10,7,Sunday,True
20241111,2024-11-11,2024,4,11,November,11,1,Monday,False
20241112,2024-11-12,2024,4,11,November,12,2,Tuesday,False
20241113,2024-11-13,2024,4,11,November,13,3,Wednesday,False
20241114,2024-11-14,2024,4,11,November,14,4,Thursday,False
20241115,2024-11-15,2024,4,11,November,15,5,Friday,False
20241116,2024-11-16,2024,4,11,November,16,6,Saturday,True
20241117,2024-11-17,2024,4,11,November,17,7,Sunday,True
20241118,2024-11-18,2024,4,11,November,18,1,Monday,False
20241119,2024-11-19,2024,4,11,November,19,2,Tuesday,False
20241120,2024-11-20,2024,4,11,November,20,3,Wednesday,False
20241121,2024-11-21,2024,4,11,November,21,4,Thursday,False
20241122,2024-11-22,2024,4,11,November,22,5,Friday,False
20241123,2024-11-23,2024,4,11,November,23,6,Saturday,True
20241124,2024-11-24,2024,4,11,November,24,7,Sunday,True
20241125,2024-11-25,2024,4,11,November,25,1,Monday,False
20241126,2024-11-26,2024,4,11,November,26,2,Tuesday,False
20241127,2024-11-27,2024,4,11,November,27,3,Wednesday,False
20241128,2024-11-28,2024,4,11,November,28,4,Thursday,False
20241129,2024-11-29,2024,4,11,November,29,5,Friday,False
20241130,2024-11-30,2024,4,11,November,30,6,Saturday,True
20241201,2024-12-01,2024,4,12,December,1,7,Sunday,True
20241202,2024-12-02,2024,4,12,December,2,1,Monday,False
20241203,2024-12-03,2024,4,12,December,3,2,Tuesday,False
20241204,2024-12-04,2024,4,12,December,4,3,Wednesday,False
20241205,2024-12-05,2024,4,12,December,5,4,Thursday,False
20241206,2024-12-06,2024,4,12,December,6,5,Friday,False
20241207,2024-12-07,2024,4,12,December,7,6,Saturday,True
20241208,2024-12-08,2024,4,12,December,8,7,Sunday,True
20241209,2024-12-09,2024,4,12,December,9,1,Monday,False
20241210,2024-12-10,2024,4,12,December,10,2,Tuesday,False
20241211,2024-12-11,2024,4,12,December,11,3,Wednesday,False
20241212,2024-12-12,2024,4,12,December,12,4,Thursday,False
20241213,2024-12-13,2024,4,12,December,13,5,Friday,False
20241214,2024-12-14,2024,4,12,December,14,6,Saturday,True
20241215,2024-12-15,2024,4,12,December,15,7,Sunday,True
20241216,2024-12-16,2024,4,12,December,16,1,Monday,False
20241217,2024-12-17,2024,4,12,December,17,2,Tuesday,False
20241218,2024-12-18,2024,4,12,December,18,3,Wednesday,False
20241219,2024-12-19,2024,4,12,December,19,4,Thursday,False
20241220,2024-12-20,2024,4,12,December,20,5,Friday,False
20241221,2024-12-21,2024,4,12,December,21,6,Saturday,True
20241222,2024-12-22,2024,4,12,December,22,7,Sunday,True
20241223,2024-12-23,2024,4,12,December,23,1,Monday,False
20241224,2024-12-24,2024,4,12,December,24,2,Tuesday,False
20241225,2024-12-25,2024,4,12,December,25,3,Wednesday,False
20241226,2024-12-26,2024,4,12,December,26,4,Thursday,False
20241227,2024-12-27,2024,4,12,December,27,5,Friday,False
20241228,2024-12-28,2024,4,12,December,28,6,Saturday,True
20241229,2024-12-29,2024,4,12,December,29,7,Sunday,True
20241230,2024-12-30,2024,4,12,December,30,1,Monday,False
20241231,2024-12-31,2024,4,12,December,31,2,Tuesday,False
20250101,2025-01-01,2025,1,1,January,1,3,Wednesday,False
20250102,2025-01-02,2025,1,1,January,2,4,Thursday,False
20250103,2025-01-03,2025,1,1,January,3,5,Friday,False
20250104,2025-01-04,2025,1,1,January,4,6,Saturday,True
20250105,2025-01-05,2025,1,1,January,5,7,Sunday,True
20250106,2025-01-06,2025,1,1,January,6,1,Monday,False
20250107,2025-01-07,2025,1,1,January,7,2,Tuesday,False
20250108,2025-01-08,2025,1,1,January,8,3,Wednesday,False
20250109,2025-01-09,2025,1,1,January,9,4,Thursday,False
20250110,2025-01-10,2025,1,1,January,10,5,Friday,False
20250111,2025-01-11,2025,1,1,January,11,6,Saturday,True
20250112,2025-01-12,2025,1,1,January,12,7,Sunday,True
20250113,2025-01-13,2025,1,1,January,13,1,Monday,False
20250114,2025-01-14,2025,1,1,January,14,2,Tuesday,False
20250115,2025-01-15,2025,1,1,January,15,3,Wednesday,False
20250116,2025-01-16,2025,1,1,January,16,4,Thursday,False
20250117,2025-01-17,2025,1,1,January,17,5,Friday,False
20250118,2025-01-18,2025,1,1,January,18,6,Saturday,True
20250119,2025-01-19,2025,1,1,January,19,7,Sunday,True
20250120,2025-01-20,2025,1,1,January,20,1,Monday,False
20250121,2025-01-21,2025,1,1,January,21,2,Tuesday,False
20250122,2025-01-22,2025,1,1,January,22,3,Wednesday,False
20250123,2025-01-23,2025,1,1,January,23,4,Thursday,False
20250124,2025-01-24,2025,1,1,January,24,5,Friday,False
20250125,2025-01-25,2025,1,1,January,25,6,Saturday,True
20250126,2025-01-26,2025,1,1,January,26,7,Sunday,True
20250127,2025-01-27,2025,1,1,January,27,1,Monday,False
20250128,2025-01-28,2025,1,1,January,28,2,Tuesday,False
20250129,2025-01-29,2025,1,1,January,29,3,Wednesday,False
20250130,2025-01-30,2025,1,1,January,30,4,Thursday,False
20250131,2025-01-31,2025,1,1,January,31,5,Friday,False
20250201,2025-02-01,2025,1,2,February,1,6,Saturday,True
20250202,2025-02-02,2025,1,2,February,2,7,Sunday,True
20250203,2025-02-03,2025,1,2,February,3,1,Monday,False
20250204,2025-02-04,2025,1,2,February,4,2,Tuesday,False
20250205,2025-02-05,2025,1,2,February,5,3,Wednesday,False
20250206,2025-02-06,2025,1,2,February,6,4,Thursday,False
20250207,2025-02-07,2025,1,2,February,7,5,Friday,False
20250208,2025-02-08,2025,1,2,February,8,6,Saturday,True
20250209,2025-02-09,2025,1,2,February,9,7,Sunday,True
20250210,2025-02-10,2025,1,2,February,10,1,Monday,False
20250211,2025-02-11,2025,1,2,February,11,2,Tuesday,False
20250212,2025-02-12,2025,1,2,February,12,3,Wednesday,False
20250213,2025-02-13,2025,1,2,February,13,4,Thursday,False
20250214,2025-02-14,2025,1,2,February,14,5,Friday,False
20250215,2025-02-15,2025,1,2,February,15,6,Saturday,True
20250216,2025-02-16,2025,1,2,February,16,7,Sunday,True
20250217,2025-02-17,2025,1,2,February,17,1,Monday,False
20250218,2025-02-18,2025,1,2,February,18,2,Tuesday,False
20250219,2025-02-19,2025,1,2,February,19,3,Wednesday,False
20250220,2025-02-20,2025,1,2,February,20,4,Thursday,False
20250221,2025-02-21,2025,1,2,February,21,5,Friday,False
20250222,2025-02-22,2025,1,2,February,22,6,Saturday,True
20250223,2025-02-23,2025,1,2,February,23,7,Sunday,True
20250224,2025-02-24,2025,1,2,February,24,1,Monday,False
20250225,2025-02-25,2025,1,2,February,25,2,Tuesday,False
20250226,2025-02-26,2025,1,2,February,26,3,Wednesday,False
20250227,2025-02-27,2025,1,2,February,27,4,Thursday,False
20250228,2025-02-28,2025,1,2,February,28,5,Friday,False
20250301,2025-03-01,2025,1,3,March,1,6,Saturday,True
20250302,2025-03-02,2025,1,3,March,2,7,Sunday,True
20250303,2025-03-03,2025,1,3,March,3,1,Monday,False
20250304,2025-03-04,2025,1,3,March,4,2,Tuesday,False
20250305,2025-03-05,2025,1,3,March,5,3,Wednesday,False
20250306,2025-03-06,2025,1,3,March,6,4,Thursday,False
20250307,2025-03-07,2025,1,3,March,7,5,Friday,False
20250308,2025-03-08,2025,1,3,March,8,6,Saturday,True
20250309,2025-03-09,2025,1,3,March,9,7,Sunday,True
20250310,2025-03-10,2025,1,3,March,10,1,Monday,False
20250311,2025-03-11,2025,1,3,March,11,2,Tuesday,False
20250312,2025-03-12,2025,1,3,March,12,3,Wednesday,False
20250313,2025-03-13,2025,1,3,March,13,4,Thursday,False
20250314,2025-03-14,2025,1,3,March,14,5,Friday,False
20250315,2025-03-15,2025,1,3,March,15,6,Saturday,True
20250316,2025-03-16,2025,1,3,March,16,7,Sunday,True
20250317,2025-03-17,2025,1,3,March,17,1,Monday,False
20250318,2025-03-18,2025,1,3,March,18,2,Tuesday,False
20250319,2025-03-19,2025,1,3,March,19,3,Wednesday,False
20250320,2025-03-20,2025,1,3,March,20,4,Thursday,False
20250321,2025-03-21,2025,1,3,March,21,5,Friday,False
20250322,2025-03-22,2025,1,3,March,22,6,Saturday,True
20250323,2025-03-23,2025,1,3,March,23,7,Sunday,True
20250324,2025-03-24,2025,1,3,March,24,1,Monday,False
20250325,2025-03-25,2025,1,3,March,25,2,Tuesday,False
20250326,2025-03-26,2025,1,3,March,26,3,Wednesday,False
20250327,2025-03-27,2025,1,3,March,27,4,Thursday,False
20250328,2025-03-28,2025,1,3,March,28,5,Friday,False
20250329,2025-03-29,2025,1,3,March,29,6,Saturday,True
20250330,2025-03-30,2025,1,3,March,30,7,Sunday,True
20250331,2025-03-31,2025,1,3,March,31,1,Monday,False
20250401,2025-04-01,2025,2,4,April,1,2,Tuesday,False
20250402,2025-04-02,2025,2,4,April,2,3,Wednesday,False
20250403,2025-04-03,2025,2,4,April,3,4,Thursday,False
20250404,2025-04-04,2025,2,4,April,4,5,Friday,False
20250405,2025-04-05,2025,2,4,April,5,6,Saturday,True
20250406,2025-04-06,2025,2,4,April,6,7,Sunday,True
20250407,2025-04-07,2025,2,4,April,7,1,Monday,False
20250408,2025-04-08,2025,2,4,April,8,2,Tuesday,False
20250409,2025-04-09,2025,2,4,April,9,3,Wednesday,False
20250410,2025-04-10,2025,2,4,April,10,4,Thursday,False
20250411,2025-04-11,2025,2,4,April,11,5,Friday,False
20250412,2025-04-12,2025,2,4,April,12,6,Saturday,True
20250413,2025-04-13,2025,2,4,April,13,7,Sunday,True
20250414,2025-04-14,2025,2,4,April,14,1,Monday,False
20250415,2025-04-15,2025,2,4,April,15,2,Tuesday,False
20250416,2025-04-16,2025,2,4,April,16,3,Wednesday,False
20250417,2025-04-17,2025,2,4,April,17,4,Thursday,False
20250418,2025-04-18,2025,2,4,April,18,5,Friday,False
20250419,2025-04-19,2025,2,4,April,19,6,Saturday,True
20250420,2025-04-20,2025,2,4,April,20,7,Sunday,True
20250421,2025-04-21,2025,2,4,April,21,1,Monday,False
20250422,2025-04-22,2025,2,4,April,22,2,Tuesday,False
20250423,2025-04-23,2025,2,4,April,23,3,Wednesday,False
20250424,2025-04-24,2025,2,4,April,24,4,Thursday,False
20250425,2025-04-25,2025,2,4,April,25,5,Friday,False
20250426,2025-04-26,2025,2,4,April,26,6,Saturday,True
20250427,2025-04-27,2025,2,4,April,27,7,Sunday,True
20250428,2025-04-28,2025,2,4,April,28,1,Monday,False
20250429,2025-04-29,2025,2,4,April,29,2,Tuesday,False
20250430,2025-04-30,2025,2,4,April,30,3,Wednesday,False
20250501,2025-05-01,2025,2,5,May,1,4,Thursday,False
20250502,2025-05-02,2025,2,5,May,2,5,Friday,False
20250503,2025-05-03,2025,2,5,May,3,6,Saturday,True
20250504,2025-05-04,2025,2,5,May,4,7,Sunday,True
20250505,2025-05-05,2025,2,5,May,5,1,Monday,False
20250506,2025-05-06,2025,2,5,May,6,2,Tuesday,False
20250507,2025-05-07,2025,2,5,May,7,3,Wednesday,False
20250508,2025-05-08,2025,2,5,May,8,4,Thursday,False
20250509,2025-05-09,2025,2,5,May,9,5,Friday,False
20250510,2025-05-10,2025,2,5,May,10,6,Saturday,True
20250511,2025-05-11,2025,2,5,May,11,7,Sunday,True
20250512,2025-05-12,2025,2,5,May,12,1,Monday,False
20250513,2025-05-13,2025,2,5,May,13,2,Tuesday,False
20250514,2025-05-14,2025,2,5,May,14,3,Wednesday,False
20250515,2025-05-15,2025,2,5,May,15,4,Thursday,False
20250516,2025-05-16,2025,2,5,May,16,5,Friday,False
20250517,2025-05-17,2025,2,5,May,17,6,Saturday,True
20250518,2025-05-18,2025,2,5,May,18,7,Sunday,True
20250519,2025-05-19,2025,2,5,May,19,1,Monday,False
20250520,2025-05-20,2025,2,5,May,20,2,Tuesday,False
20250521,2025-05-21,2025,2,5,May,21,3,Wednesday,False
20250522,2025-05-22,2025,2,5,May,22,4,Thursday,False
20250523,2025-05-23,2025,2,5,May,23,5,Friday,False
20250524,2025-05-24,2025,2,5,May,24,6,Saturday,True
20250525,2025-05-25,2025,2,5,May,25,7,Sunday,True
20250526,2025-05-26,2025,2,5,May,26,1,Monday,False
20250527,2025-05-27,2025,2,5,May,27,2,Tuesday,False
20250528,2025-05-28,2025,2,5,May,28,3,Wednesday,False
20250529,2025-05-29,2025,2,5,May,29,4,Thursday,False
20250530,2025-05-30,2025,2,5,May,30,5,Friday,False
20250531,2025-05-31,2025,2,5,May,31,6,Saturday,True
20250601,2025-06-01,2025,2,6,June,1,7,Sunday,True
20250602,2025-06-02,2025,2,6,June,2,1,Monday,False
20250603,2025-06-03,2025,2,6,June,3,2,Tuesday,False
20250604,2025-06-04,2025,2,6,June,4,3,Wednesday,False
20250605,2025-06-05,2025,2,6,June,5,4,Thursday,False
20250606,2025-06-06,2025,2,6,June,6,5,Friday,False
20250607,2025-06-07,2025,2,6,June,7,6,Saturday,True
20250608,2025-06-08,2025,2,6,June,8,7,Sunday,True
20250609,2025-06-09,2025,2,6,June,9,1,Monday,False
20250610,2025-06-10,2025,2,6,June,10,2,Tuesday,False
20250611,2025-06-11,2025,2,6,June,11,3,Wednesday,False
20250612,2025-06-12,2025,2,6,June,12,4,Thursday,False
20250613,2025-06-13,2025,2,6,June,13,5,Friday,False
20250614,2025-06-14,2025,2,6,June,14,6,Saturday,True
20250615,2025-06-15,2025,2,6,June,15,7,Sunday,True
20250616,2025-06-16,2025,2,6,June,16,1,Monday,False
20250617,2025-06-17,2025,2,6,June,17,2,Tuesday,False
20250618,2025-06-18,2025,2,6,June,18,3,Wednesday,False
20250619,2025-06-19,2025,2,6,June,19,4,Thursday,False
20250620,2025-06-20,2025,2,6,June,20,5,Friday,False
20250621,2025-06-21,2025,2,6,June,21,6,Saturday,True
20250622,2025-06-22,2025,2,6,June,22,7,Sunday,True
20250623,2025-06-23,2025,2,6,June,23,1,Monday,False
20250624,2025-06-24,2025,2,6,June,24,2,Tuesday,False
20250625,2025-06-25,2025,2,6,June,25,3,Wednesday,False
20250626,2025-06-26,2025,2,6,June,26,4,Thursday,False
20250627,2025-06-27,2025,2,6,June,27,5,Friday,False
20250628,2025-06-28,2025,2,6,June,28,6,Saturday,True
20250629,2025-06-29,2025,2,6,June,29,7,Sunday,True
20250630,2025-06-30,2025,2,6,June,30,1,Monday,False
20250701,2025-07-01,2025,3,7,July,1,2,Tuesday,False
20250702,2025-07-02,2025,3,7,July,2,3,Wednesday,False
20250703,2025-07-03,2025,3,7,July,3,4,Thursday,False
20250704,2025-07-04,2025,3,7,July,4,5,Friday,False
20250705,2025-07-05,2025,3,7,July,5,6,Saturday,True
20250706,2025-07-06,2025,3,7,July,6,7,Sunday,True
20250707,2025-07-07,2025,3,7,July,7,1,Monday,False
20250708,2025-07-08,2025,3,7,July,8,2,Tuesday,False
20250709,2025-07-09,2025,3,7,July,9,3,Wednesday,False
20250710,2025-07-10,2025,3,7,July,10,4,Thursday,False
20250711,2025-07-11,2025,3,7,July,11,5,Friday,False
20250712,2025-07-12,2025,3,7,July,12,6,Saturday,True
20250713,2025-07-13,2025,3,7,July,13,7,Sunday,True
20250714,2025-07-14,2025,3,7,July,14,1,Monday,False
20250715,2025-07-15,2025,3,7,July,15,2,Tuesday,False
20250716,2025-07-16,2025,3,7,July,16,3,Wednesday,False
20250717,2025-07-17,2025,3,7,July,17,4,Thursday,False
20250718,2025-07-18,2025,3,7,July,18,5,Friday,False
20250719,2025-07-19,2025,3,7,July,19,6,Saturday,True
20250720,2025-07-20,2025,3,7,July,20,7,Sunday,True
20250721,2025-07-21,2025,3,7,July,21,1,Monday,False
20250722,2025-07-22,2025,3,7,July,22,2,Tuesday,False
20250723,2025-07-23,2025,3,7,July,23,3,Wednesday,False
20250724,2025-07-24,2025,3,7,July,24,4,Thursday,False
20250725,2025-07-25,2025,3,7,July,25,5,Friday,False
20250726,2025-07-26,2025,3,7,July,26,6,Saturday,True
20250727,2025-07-27,2025,3,7,July,27,7,Sunday,True
20250728,2025-07-28,2025,3,7,July,28,1,Monday,False
20250729,2025-07-29,2025,3,7,July,29,2,Tuesday,False
20250730,2025-07-30,2025,3,7,July,30,3,Wednesday,False
20250731,2025-07-31,2025,3,7,July,31,4,Thursday,False
20250801,2025-08-01,2025,3,8,August,1,5,Friday,False
20250802,2025-08-02,2025,3,8,August,2,6,Saturday,True
20250803,2025-08-03,2025,3,8,August,3,7,Sunday,True
20250804,2025-08-04,2025,3,8,August,4,1,Monday,False
20250805,2025-08-05,2025,3,8,August,5,2,Tuesday,False
20250806,2025-08-06,2025,3,8,August,6,3,Wednesday,False
20250807,2025-08-07,2025,3,8,August,7,4,Thursday,False
20250808,2025-08-08,2025,3,8,August,8,5,Friday,False
20250809,2025-08-09,2025,3,8,August,9,6,Saturday,True
20250810,2025-08-10,2025,3,8,August,10,7,Sunday,True
20250811,2025-08-11,2025,3,8,August,11,1,Monday,False
20250812,2025-08-12,2025,3,8,August,12,2,Tuesday,False
20250813,2025-08-13,2025,3,8,August,13,3,Wednesday,False
20250814,2025-08-14,2025,3,8,August,14,4,Thursday,False
20250815,2025-08-15,2025,3,8,August,15,5,Friday,False
20250816,2025-08-16,2025,3,8,August,16,6,Saturday,True
20250817,2025-08-17,2025,3,8,August,17,7,Sunday,True
20250818,2025-08-18,2025,3,8,August,18,1,Monday,False
20250819,2025-08-19,2025,3,8,August,19,2,Tuesday,False
20250820,2025-08-20,2025,3,8,August,20,3,Wednesday,False
20250821,2025-08-21,2025,3,8,August,21,4,Thursday,False
20250822,2025-08-22,2025,3,8,August,22,5,Friday,False
20250823,2025-08-23,2025,3,8,August,23,6,Saturday,True
