pipeline_key,created_date_key,closed_date_key,product_key,customer_key,geography_key,opportunity_id,stage,units,amount_usd,is_won,sales_cycle_days
100,20251108,20260127,5,9,5,OPP-000100,Lost,16,1710087.17,False,80
101,20250223,20250330,2,772,10,OPP-000101,Won,16,52885.42,True,35
102,20250108,20250615,3,663,9,OPP-000102,Won,14,565979.3,True,158
103,20240611,20240710,4,40,2,OPP-000103,Won,15,897382.15,True,29
104,20250429,,3,479,11,OPP-000104,Proposal,4,162460.04,False,
105,20241125,20241222,2,930,5,OPP-000105,Lost,20,65350.52,False,27
106,20250430,20251006,3,432,12,OPP-000106,Won,5,222454.08,True,159
107,20260131,20260303,2,728,4,OPP-000107,Won,10,31530.56,True,31
108,20250715,20251009,4,107,1,OPP-000108,Won,18,1124772.7,True,86
109,20250909,20260205,3,692,5,OPP-000109,Lost,7,302870.67,False,149
110,20251013,,2,396,1,OPP-000110,Lead,24,81249.9,False,
111,20250516,20250919,2,945,11,OPP-000111,Lost,7,20916.86,False,126
112,20240612,20241104,2,324,4,OPP-000112,Lost,9,29435.89,False,145
113,20251217,20260102,3,542,3,OPP-000113,Lost,8,306484.53,False,16
114,20250209,20250403,3,949,1,OPP-000114,Lost,18,754743.9,False,53
115,20241120,,3,700,12,OPP-000115,Proposal,22,888029.53,False,
116,20250806,20251113,1,441,6,OPP-000116,Lost,11,58011.75,False,99
117,20240619,20240818,2,654,2,OPP-000117,Lost,22,66535.74,False,60
118,20240902,20241110,3,397,4,OPP-000118,Won,7,274646.25,True,69
119,20240626,,1,486,6,OPP-000119,Lead,11,60286.19,False,
120,20260410,20260531,3,659,8,OPP-000120,Lost,22,860959.6,False,116
121,20251205,20260228,4,877,12,OPP-000121,Won,1,68003.45,True,85
122,20250503,20250819,3,30,4,OPP-000122,Won,20,885126.85,True,108
123,20250626,,2,787,9,OPP-000123,Lead,8,24528.95,False,
124,20250520,20251015,5,646,1,OPP-000124,Lost,4,417702.94,False,148
125,20260119,20260521,5,765,6,OPP-000125,Won,7,815123.99,True,122
126,20241031,,4,589,2,OPP-000126,Negotiation,9,549825.05,False,
127,20250920,20251021,4,69,12,OPP-000127,Won,14,854471.13,True,31
128,20251226,20260115,5,369,11,OPP-000128,Won,9,1031184.61,True,20
129,20260417,20260531,2,924,4,OPP-000129,Lost,12,37650.17,False,130
130,20250718,20251103,5,168,3,OPP-000130,Won,1,117291.4,True,108
131,20240624,20240803,1,229,3,OPP-000131,Won,14,78550.52,True,40
132,20251116,,3,491,14,OPP-000132,Proposal,12,531507.34,False,
133,20250120,20250621,1,352,13,OPP-000133,Won,13,71333.72,True,152
134,20240623,20241122,3,50,11,OPP-000134,Won,1,44357.46,True,152
135,20240930,20241215,4,760,14,OPP-000135,Won,13,805828.13,True,76
136,20260306,20260531,4,245,7,OPP-000136,Lost,9,551413.57,False,100
137,20260522,20260531,3,100,13,OPP-000137,Lost,2,86145.71,False,132
138,20241227,20250419,5,987,8,OPP-000138,Won,10,1108838.56,True,113
139,20250827,20251030,4,607,13,OPP-000139,Lost,18,1215989.86,False,64
140,20260329,20260531,5,351,6,OPP-000140,Won,19,2248762.49,True,176
141,20241202,,3,761,5,OPP-000141,Qualified,13,511699.74,False,
142,20240613,20240703,3,107,1,OPP-000142,Lost,3,116864.47,False,20
143,20250312,20250612,2,663,9,OPP-000143,Lost,8,24175.97,False,92
144,20260408,,1,540,9,OPP-000144,Lead,10,57361.61,False,
145,20241209,20250427,4,593,7,OPP-000145,Lost,12,748392.67,False,139
146,20260223,,1,649,1,OPP-000146,Qualified,17,100883.21,False,
147,20240916,20241026,5,474,6,OPP-000147,Lost,23,2475127.62,False,40
148,20250526,20250726,4,447,5,OPP-000148,Won,19,1292951.18,True,61
149,20250925,20260104,3,500,14,OPP-000149,Won,3,123195.77,True,101
150,20250205,20250514,3,36,3,OPP-000150,Won,14,590595.23,True,98
151,20250710,20251211,2,166,12,OPP-000151,Won,16,47919.94,True,154
152,20250802,,4,150,7,OPP-000152,Qualified,6,405456.28,False,
153,20251227,,3,273,10,OPP-000153,Lead,19,837088.77,False,
154,20260523,,5,910,14,OPP-000154,Lead,6,614543.6,False,
155,20241120,20250402,1,55,10,OPP-000155,Won,10,52795.91,True,133
156,20250703,20251227,3,638,1,OPP-000156,Won,3,123340.99,True,177
157,20250531,,4,275,1,OPP-000157,Qualified,1,64862.17,False,
158,20250702,,5,233,7,OPP-000158,Proposal,22,2257943.06,False,
159,20260401,20260531,4,739,3,OPP-000159,Won,15,979753.65,True,69
160,20260102,20260421,3,386,9,OPP-000160,Won,13,537813.01,True,109
161,20260515,,4,695,8,OPP-000161,Qualified,21,1452018.1,False,
162,20241228,,3,714,13,OPP-000162,Proposal,19,850818.33,False,
163,20240829,20241001,5,238,5,OPP-000163,Won,9,984552.38,True,33
164,20241016,20241124,1,420,11,OPP-000164,Won,18,94334.39,True,39
165,20250826,,3,221,5,OPP-000165,Lead,13,511946.87,False,
166,20260418,,3,230,6,OPP-000166,Qualified,15,604140.7,False,
167,20250402,,4,873,4,OPP-000167,Qualified,3,179604.59,False,
168,20260304,20260329,3,496,13,OPP-000168,Won,24,974959.88,True,25
169,20241209,20250407,3,861,4,OPP-000169,Lost,16,678510.22,False,119
170,20251031,20251222,2,738,10,OPP-000170,Won,8,27501.38,True,52
171,20250209,20250303,4,350,2,OPP-000171,Lost,14,929390.37,False,22
172,20250501,,3,435,8,OPP-000172,Proposal,18,725106.69,False,
173,20250509,20250810,2,832,3,OPP-000173,Won,8,26931.45,True,93
174,20260324,20260531,1,483,7,OPP-000174,Won,4,20969.97,True,78
175,20251115,20260201,4,686,13,OPP-000175,Won,2,122644.24,True,78
176,20260510,20260531,5,127,8,OPP-000176,Won,3,346679.74,True,146
177,20250228,,2,797,10,OPP-000177,Proposal,21,67517.09,False,
178,20260414,20260531,2,467,14,OPP-000178,Won,3,9728.22,True,150
179,20251105,20260413,4,293,6,OPP-000179,Won,13,897281.59,True,159
180,20250502,20250917,5,23,9,OPP-000180,Lost,18,1889074.74,False,138
181,20260227,20260406,1,549,11,OPP-000181,Won,11,57634.11,True,38
182,20250209,,2,696,12,OPP-000182,Proposal,16,54922.37,False,
183,20251116,20260304,2,49,9,OPP-000183,Lost,17,53153.7,False,108
184,20241106,20250127,1,897,14,OPP-000184,Won,16,90922.26,True,82
185,20241021,20250111,3,838,11,OPP-000185,Won,1,44644.81,True,82
186,20240701,20240929,5,365,9,OPP-000186,Lost,24,2621565.78,False,90
187,20250103,20250515,5,493,9,OPP-000187,Lost,20,2398695.73,False,132
188,20250523,20250817,5,419,6,OPP-000188,Lost,12,1335064.23,False,86
189,20251126,20260212,2,595,5,OPP-000189,Won,15,52283.34,True,78
190,20241125,20241220,2,54,11,OPP-000190,Won,2,6675.9,True,25
191,20260124,20260517,2,762,6,OPP-000191,Won,16,54416.11,True,113
192,20260309,,3,335,5,OPP-000192,Lead,23,1020150.91,False,
193,20250305,20250406,5,777,10,OPP-000193,Lost,16,1860722.86,False,32
194,20240629,,4,432,12,OPP-000194,Qualified,19,1259161.7,False,
195,20241114,,4,763,2,OPP-000195,Negotiation,10,633124.72,False,
196,20250208,20250711,4,398,11,OPP-000196,Won,20,1385954.24,True,153
197,20250323,20250414,5,40,2,OPP-000197,Lost,17,1921295.5,False,22
198,20250303,,5,16,1,OPP-000198,Qualified,15,1769281.07,False,
199,20241210,,4,916,8,OPP-000199,Proposal,7,481597.04,False,
200,20241108,20250120,3,356,6,OPP-000200,Won,12,507933.7,True,73
201,20240617,20240727,5,693,13,OPP-000201,Lost,10,1053459.41,False,40
202,20240908,20241228,1,443,2,OPP-000202,Lost,23,119909.18,False,111
203,20240605,,3,907,13,OPP-000203,Proposal,18,710399.85,False,
204,20250213,,3,540,9,OPP-000204,Qualified,14,542842.22,False,
205,20260223,20260531,5,143,8,OPP-000205,Won,9,1027617.22,True,127
206,20250223,,4,442,5,OPP-000206,Proposal,9,596104.29,False,
207,20260317,20260531,2,53,4,OPP-000207,Won,5,15089.05,True,102
208,20250820,20251017,5,239,1,OPP-000208,Lost,11,1269190.31,False,58
209,20250625,20251017,1,319,3,OPP-000209,Lost,22,122284.88,False,114
210,20240813,,3,210,11,OPP-000210,Negotiation,3,130916.52,False,
211,20250508,,2,478,10,OPP-000211,Negotiation,6,18770.79,False,
212,20250628,20251127,1,25,3,OPP-000212,Won,18,103367.12,True,152
213,20240807,20241010,1,333,9,OPP-000213,Lost,18,101629.35,False,64
214,20260110,20260310,2,66,12,OPP-000214,Lost,6,18714.94,False,59
215,20250619,,4,176,12,OPP-000215,Negotiation,19,1179329.43,False,
216,20250123,,3,339,14,OPP-000216,Negotiation,9,358587.9,False,
217,20251022,20251211,2,473,5,OPP-000217,Won,7,21920.73,True,50
218,20260211,,5,847,13,OPP-000218,Negotiation,10,1079329.68,False,
219,20240925,20250121,1,382,4,OPP-000219,Won,2,10392.45,True,118
220,20260319,20260524,5,542,3,OPP-000220,Won,10,1176314.56,True,66
221,20250316,,2,171,3,OPP-000221,Lead,8,24182.22,False,
222,20251107,20251125,4,654,2,OPP-000222,Lost,6,395570.37,False,18
223,20250801,20260123,3,113,9,OPP-000223,Won,19,787277.08,True,175
224,20251212,20260214,1,523,14,OPP-000224,Won,22,124518.76,True,64
225,20250308,20250616,1,7,1,OPP-000225,Lost,25,143458.92,False,100
226,20241229,20250328,2,622,14,OPP-000226,Won,8,24647.83,True,89
227,20250504,20250719,2,217,12,OPP-000227,Lost,4,13319.57,False,76
228,20241207,20250201,1,477,5,OPP-000228,Won,1,5550.43,True,56
229,20240901,20241115,2,391,4,OPP-000229,Lost,9,30069.95,False,75
230,20241204,,3,158,2,OPP-000230,Proposal,11,446383.84,False,
231,20251207,20260424,3,656,9,OPP-000231,Won,21,807665.43,True,138
232,20240608,,3,137,13,OPP-000232,Qualified,1,39053.93,False,
233,20260209,20260531,1,149,3,OPP-000233,Won,13,75434.22,True,136
234,20260501,20260531,5,913,6,OPP-000234,Won,6,695346.16,True,142
235,20260530,20260531,4,129,3,OPP-000235,Won,4,251008.87,True,144
236,20241230,,5,340,7,OPP-000236,Qualified,14,1531385.24,False,
237,20250613,20250714,1,682,5,OPP-000237,Won,1,5306.69,True,31
238,20240619,,2,456,6,OPP-000238,Proposal,19,59377.9,False,
239,20251210,20260330,1,783,5,OPP-000239,Won,21,113217.62,True,110
240,20250915,,4,259,3,OPP-000240,Proposal,24,1447559.35,False,
241,20250216,20250612,1,271,5,OPP-000241,Won,4,20906.16,True,116
242,20241029,,3,432,12,OPP-000242,Negotiation,11,480540.78,False,
243,20250506,20250820,3,307,11,OPP-000243,Lost,16,626807.09,False,106
244,20250920,20251023,4,29,8,OPP-000244,Won,14,927375.37,True,33
245,20250630,,4,335,5,OPP-000245,Qualified,25,1548742.5,False,
246,20241207,20250130,4,436,8,OPP-000246,Lost,8,552703.98,False,54
247,20251222,,2,819,1,OPP-000247,Negotiation,13,39860.14,False,
248,20240731,20241123,2,145,2,OPP-000248,Lost,15,47656.37,False,115
249,20241014,20241124,1,639,3,OPP-000249,Lost,22,128756.62,False,41
250,20240926,20241125,2,827,8,OPP-000250,Won,23,78468.89,True,60
251,20260419,20260531,5,284,1,OPP-000251,Lost,4,435929.64,False,141
252,20240816,20241128,4,874,13,OPP-000252,Lost,12,795206.57,False,104
253,20250413,,2,58,7,OPP-000253,Lead,17,53542.0,False,
254,20241230,20250127,2,112,11,OPP-000254,Won,13,44940.21,True,28
255,20250708,20251003,1,686,13,OPP-000255,Lost,9,52497.03,False,87
256,20250919,20251105,2,338,5,OPP-000256,Won,5,16207.56,True,47
257,20250314,20250516,1,368,11,OPP-000257,Lost,3,16260.4,False,63
258,20260117,20260419,3,634,5,OPP-000258,Lost,25,1123972.37,False,92
259,20250330,20250728,5,779,5,OPP-000259,Lost,14,1543434.36,False,120
260,20250213,20250322,5,270,9,OPP-000260,Won,18,1996713.22,True,37
261,20250916,20251107,2,909,7,OPP-000261,Won,11,33871.5,True,52
262,20260323,20260531,2,571,8,OPP-000262,Won,8,27231.76,True,108
263,20240709,,2,99,5,OPP-000263,Qualified,10,32346.64,False,
264,20240616,20240721,3,590,7,OPP-000264,Won,22,846258.81,True,35
265,20240821,20241212,1,194,4,OPP-000265,Lost,21,117803.46,False,113
266,20240729,,4,834,7,OPP-000266,Lead,23,1460918.31,False,
267,20250214,20250616,2,328,7,OPP-000267,Won,8,24754.69,True,122
268,20250930,,5,793,1,OPP-000268,Negotiation,11,1270291.43,False,
269,20260430,20260531,5,95,3,OPP-000269,Lost,15,1547016.09,False,80
270,20251002,20260206,1,79,4,OPP-000270,Lost,23,135115.76,False,127
271,20250814,,5,363,13,OPP-000271,Proposal,4,431630.98,False,
272,20260503,20260531,5,28,12,OPP-000272,Won,6,634613.59,True,166
273,20250628,20250807,5,43,1,OPP-000273,Lost,10,1123453.74,False,40
274,20250824,20260204,2,665,4,OPP-000274,Won,12,37035.55,True,164
275,20241230,,3,5,13,OPP-000275,Proposal,10,412462.79,False,
276,20251013,,1,704,2,OPP-000276,Negotiation,7,41221.27,False,
277,20250306,20250330,2,235,8,OPP-000277,Won,10,31688.78,True,24
278,20250704,,3,749,12,OPP-000278,Proposal,14,589229.15,False,
279,20251006,,3,939,9,OPP-000279,Lead,1,39271.77,False,
280,20250828,20251205,4,429,13,OPP-000280,Won,1,67913.24,True,99
281,20250314,,1,216,14,OPP-000281,Lead,5,25850.76,False,
282,20260314,20260529,5,586,9,OPP-000282,Won,3,324870.27,True,76
283,20241006,,3,764,1,OPP-000283,Lead,18,721956.01,False,
284,20240614,20240802,1,715,4,OPP-000284,Won,19,106585.22,True,49
285,20250404,20250613,1,294,4,OPP-000285,Won,10,57993.22,True,70
286,20260412,20260531,2,245,7,OPP-000286,Lost,15,47074.0,False,87
287,20250118,20250611,5,287,13,OPP-000287,Won,6,679254.91,True,144
288,20240830,,3,479,11,OPP-000288,Negotiation,7,309060.73,False,
289,20240909,20241008,1,244,12,OPP-000289,Lost,17,99001.26,False,29
290,20250227,,5,721,14,OPP-000290,Proposal,8,947043.67,False,
291,20260409,,1,892,14,OPP-000291,Qualified,14,78012.97,False,
292,20240613,,1,493,9,OPP-000292,Lead,18,105268.47,False,
293,20240903,20241207,4,782,6,OPP-000293,Lost,4,248574.38,False,95
294,20250105,20250526,4,634,5,OPP-000294,Lost,13,819518.88,False,141
295,20251030,,1,792,1,OPP-000295,Negotiation,12,61406.24,False,
296,20250711,,3,46,4,OPP-000296,Lead,22,909418.78,False,
297,20240916,20241111,4,263,4,OPP-000297,Won,20,1388603.03,True,56
298,20260512,20260531,5,682,5,OPP-000298,Won,25,2861728.32,True,29
299,20241210,20250206,2,581,8,OPP-000299,Won,25,84822.68,True,58
300,20260223,20260516,1,490,2,OPP-000300,Won,16,93621.05,True,82
301,20241115,20250222,2,330,7,OPP-000301,Won,15,44962.88,True,99
302,20250908,,5,809,14,OPP-000302,Lead,1,117540.92,False,
303,20260429,20260531,2,409,12,OPP-000303,Won,1,3257.48,True,51
304,20250731,20251217,5,678,3,OPP-000304,Won,21,2488571.33,True,139
305,20240928,20241227,4,615,5,OPP-000305,Lost,11,702562.63,False,90
306,20251113,20251231,1,632,13,OPP-000306,Won,5,28973.7,True,48
307,20241206,20250406,4,988,14,OPP-000307,Lost,23,1596810.47,False,121
308,20251111,,1,235,8,OPP-000308,Negotiation,16,86750.58,False,
309,20260210,20260531,4,826,8,OPP-000309,Lost,23,1587256.93,False,135
310,20241121,,4,418,9,OPP-000310,Qualified,20,1247340.76,False,
311,20250730,,3,369,11,OPP-000311,Qualified,1,42955.33,False,
312,20250128,,1,297,7,OPP-000312,Lead,25,129892.9,False,
313,20260329,20260531,4,286,2,OPP-000313,Won,17,1067861.25,True,125
314,20241223,20250320,3,36,3,OPP-000314,Won,13,567478.21,True,87
315,20250322,,4,320,3,OPP-000315,Proposal,19,1307130.79,False,
316,20250315,20250621,1,824,1,OPP-000316,Won,22,114737.1,True,98
317,20250929,20260116,4,576,11,OPP-000317,Lost,4,257761.46,False,109
318,20260414,20260531,1,127,8,OPP-000318,Lost,14,81691.88,False,122
319,20241129,,3,477,5,OPP-000319,Negotiation,13,572913.2,False,
320,20250605,20250901,3,584,4,OPP-000320,Lost,20,870922.19,False,88
321,20240928,,4,189,6,OPP-000321,Qualified,10,691226.44,False,
322,20250325,,3,114,7,OPP-000322,Proposal,7,277461.71,False,
323,20250311,,2,711,12,OPP-000323,Qualified,1,3085.56,False,
324,20250828,20251218,1,759,3,OPP-000324,Lost,23,122372.12,False,112
325,20240807,,5,913,6,OPP-000325,Lead,11,1207728.71,False,
326,20250930,,5,179,3,OPP-000326,Qualified,9,1064732.07,False,
327,20240926,20250122,5,238,5,OPP-000327,Won,3,335429.53,True,118
328,20260331,20260513,4,372,9,OPP-000328,Won,13,780755.52,True,43
329,20241102,20250418,1,360,11,OPP-000329,Won,25,127775.42,True,167
330,20260215,,2,682,5,OPP-000330,Qualified,19,66467.0,False,
331,20240727,20240914,1,805,8,OPP-000331,Won,20,114294.81,True,49
332,20240618,,5,624,10,OPP-000332,Lead,11,1141862.28,False,
333,20260518,20260531,5,693,13,OPP-000333,Lost,15,1556243.8,False,50
334,20250211,20250610,4,100,13,OPP-000334,Won,4,257419.3,True,119
335,20260502,,4,396,1,OPP-000335,Qualified,9,626882.37,False,
336,20260312,20260531,2,265,8,OPP-000336,Won,12,41911.49,True,150
337,20241231,20250430,1,791,13,OPP-000337,Lost,23,127828.2,False,120
338,20260409,,1,80,2,OPP-000338,Qualified,13,70252.85,False,
339,20251029,20251126,3,975,7,OPP-000339,Won,4,178114.97,True,28
340,20240717,,4,338,5,OPP-000340,Negotiation,6,397684.52,False,
341,20250615,20250717,5,887,4,OPP-000341,Won,19,2058606.49,True,32
342,20240908,20241203,1,373,4,OPP-000342,Won,14,78261.35,True,86
343,20260120,,1,622,14,OPP-000343,Negotiation,11,57754.76,False,
344,20240829,,4,238,5,OPP-000344,Proposal,18,1154661.66,False,
345,20250118,20250511,3,633,9,OPP-000345,Won,21,901840.79,True,113
346,20241111,,3,130,4,OPP-000346,Qualified,3,117629.55,False,
347,20251002,20260103,1,424,11,OPP-000347,Lost,10,59560.07,False,93
348,20241017,,4,868,9,OPP-000348,Qualified,17,1087778.76,False,
349,20260313,,2,207,11,OPP-000349,Proposal,16,53798.73,False,
350,20241024,,5,511,14,OPP-000350,Proposal,21,2386868.6,False,
351,20250101,20250621,4,318,3,OPP-000351,Won,2,129924.79,True,171
352,20250326,20250628,2,685,3,OPP-000352,Lost,15,45748.47,False,94
353,20260116,20260531,3,446,12,OPP-000353,Won,13,556641.84,True,147
354,20250602,,5,508,9,OPP-000354,Proposal,9,997728.14,False,
355,20241205,20250314,5,461,9,OPP-000355,Lost,12,1307679.35,False,99
356,20251111,,3,936,6,OPP-000356,Lead,18,691761.3,False,
357,20250909,20251006,2,82,8,OPP-000357,Won,9,28245.51,True,27
358,20241228,20250127,4,296,4,OPP-000358,Won,22,1351874.28,True,30
359,20250228,20250418,3,589,2,OPP-000359,Won,22,862151.74,True,49
360,20251205,20260531,4,220,10,OPP-000360,Won,16,1080110.27,True,180
361,20240825,,4,750,6,OPP-000361,Negotiation,14,968474.5,False,
362,20260417,20260531,3,921,8,OPP-000362,Won,9,366761.89,True,141
363,20241107,,5,450,10,OPP-000363,Lead,8,854824.54,False,
364,20250420,20250904,4,134,8,OPP-000364,Won,13,863692.63,True,137
365,20240622,,2,679,13,OPP-000365,Negotiation,6,20461.95,False,
366,20250225,20250424,1,846,6,OPP-000366,Won,16,89674.44,True,58
367,20240622,,1,196,3,OPP-000367,Negotiation,2,11398.91,False,
368,20250502,,2,769,12,OPP-000368,Proposal,11,36510.6,False,
369,20250315,20250519,5,680,7,OPP-000369,Won,5,593197.66,True,65
370,20241214,,4,567,9,OPP-000370,Qualified,7,452027.29,False,
371,20260526,,1,77,10,OPP-000371,Proposal,20,116051.23,False,
372,20240712,20241008,3,206,9,OPP-000372,Lost,15,606608.63,False,88
373,20260512,,1,620,3,OPP-000373,Negotiation,24,138856.33,False,
374,20260320,20260515,2,679,13,OPP-000374,Lost,11,38486.61,False,56
375,20240622,20240720,4,526,6,OPP-000375,Lost,21,1263583.88,False,28
376,20260214,,5,100,13,OPP-000376,Negotiation,8,944112.0,False,
377,20250301,,5,951,9,OPP-000377,Qualified,5,529673.19,False,
