customer_key,customer_id,customer_name,segment,industry,geography_key,signup_date_key
76,CUST-000076,Jones PLC,Enterprise,Retail,1,20241110
77,CUST-000077,"White, Cochran and Jones",Mid-Market,Retail,10,20241116
78,CUST-000078,Riddle Ltd,Enterprise,Manufacturing,12,20250402
79,CUST-000079,Roy Ltd,Public Sector,Healthcare,4,20250424
80,CUST-000080,Jackson-Franco,Mid-Market,Manufacturing,2,20250311
81,CUST-000081,Santana-Barnes,Public Sector,Logistics,11,20250418
82,CUST-000082,Torres LLC,Mid-Market,Government,8,20250204
83,CUST-000083,"Malone, Freeman and Mueller",SMB,Logistics,5,20250311
84,CUST-000084,Miller-Mcgee,SMB,Healthcare,3,20250131
85,CUST-000085,"Spencer, Jenkins and Glass",Mid-Market,Retail,10,20240912
86,CUST-000086,Diaz Ltd,Public Sector,Manufacturing,7,20241007
87,CUST-000087,"Cochran, Gutierrez and Jones",Enterprise,Hospitality,5,20250119
88,CUST-000088,Cooper and Sons,Public Sector,Healthcare,12,20240716
89,CUST-000089,Jones PLC,Enterprise,Hospitality,5,20240722
90,CUST-000090,Bird and Sons,Public Sector,Retail,13,20241207
91,CUST-000091,Lee LLC,SMB,Education,13,20240817
92,CUST-000092,Christensen-Terry,Public Sector,Education,1,20240917
93,CUST-000093,Mitchell and Sons,Enterprise,Manufacturing,13,20250520
94,CUST-000094,"Howell, Parker and Davis",Enterprise,Hospitality,13,20240708
95,CUST-000095,Smith-Allen,Public Sector,Hospitality,3,20250302
96,CUST-000096,"Pruitt, Boyd and Chandler",SMB,Hospitality,12,20240708
97,CUST-000097,Hunter Group,Public Sector,Government,6,20240825
98,CUST-000098,Green Group,Mid-Market,Logistics,7,20250303
99,CUST-000099,"Wood, Mclaughlin and Holmes",Mid-Market,Education,5,20250215
100,CUST-000100,Leon-Day,Mid-Market,Manufacturing,13,20250205
101,CUST-000101,Estes-Hughes,SMB,Manufacturing,7,20240714
102,CUST-000102,Bradford Inc,Mid-Market,Healthcare,10,20250311
103,CUST-000103,Hicks Group,Mid-Market,Government,2,20240608
104,CUST-000104,"Rivera, Contreras and Parks",Mid-Market,Government,9,20240721
105,CUST-000105,"Frank, Crane and Nichols",Mid-Market,Healthcare,1,20241124
106,CUST-000106,"Young, Diaz and Kemp",Mid-Market,Hospitality,1,20240709
107,CUST-000107,Knox-Moore,Mid-Market,Hospitality,1,20250527
108,CUST-000108,Greene Ltd,Mid-Market,Education,13,20241116
109,CUST-000109,Brown PLC,Mid-Market,Retail,12,20240606
110,CUST-000110,Guzman PLC,Enterprise,Education,3,20250304
111,CUST-000111,"Ramirez, Williams and Stone",SMB,Logistics,2,20250105
112,CUST-000112,Williams-Carson,Enterprise,Education,11,20250413
113,CUST-000113,Martinez-Avila,Public Sector,Manufacturing,9,20241124
114,CUST-000114,Walker Group,Enterprise,Government,7,20240819
115,CUST-000115,Adams Group,Mid-Market,Retail,11,20241207
116,CUST-000116,Campbell-Blair,Mid-Market,Logistics,9,20240615
117,CUST-000117,Miller-Contreras,Mid-Market,Government,6,20250112
118,CUST-000118,Arnold-Smith,Mid-Market,Healthcare,14,20240605
119,CUST-000119,Price-Marshall,Enterprise,Retail,8,20250216
120,CUST-000120,Simmons-Hampton,Mid-Market,Government,14,20250518
121,CUST-000121,Sweeney-Norman,Enterprise,Hospitality,4,20250302
122,CUST-000122,"Mckenzie, Wagner and Flynn",SMB,Education,8,20241205
123,CUST-000123,"Jenkins, Peterson and Campbell",SMB,Education,7,20250206
124,CUST-000124,"Boyd, Owens and Cain",Enterprise,Education,10,20240914
125,CUST-000125,"Davis, Rose and Harris",SMB,Healthcare,12,20250314
126,CUST-000126,Trujillo-Mcfarland,Enterprise,Government,10,20250424
127,CUST-000127,"Fox, Johnson and Yu",Mid-Market,Healthcare,8,20250221
128,CUST-000128,Miller Ltd,Mid-Market,Healthcare,3,20250407
129,CUST-000129,Oliver and Sons,Mid-Market,Hospitality,3,20240616
130,CUST-000130,"Martinez, Warren and Callahan",Mid-Market,Retail,4,20241015
131,CUST-000131,Arroyo and Sons,SMB,Retail,5,20240908
132,CUST-000132,"Williams, Mendoza and Wilson",SMB,Logistics,2,20250327
133,CUST-000133,"Garcia, Blair and Taylor",SMB,Hospitality,8,20250310
134,CUST-000134,Burnett Group,SMB,Government,8,20241217
135,CUST-000135,Chapman-Evans,Enterprise,Manufacturing,5,20250105
136,CUST-000136,Krause-Davies,Public Sector,Hospitality,6,20250508
137,CUST-000137,Johnson-Reid,SMB,Manufacturing,13,20240828
138,CUST-000138,Garner LLC,SMB,Education,6,20240713
139,CUST-000139,Kelly and Sons,Mid-Market,Government,9,20241020
140,CUST-000140,Wright Inc,Mid-Market,Hospitality,12,20240719
141,CUST-000141,"Smith, Hutchinson and Jacobs",SMB,Logistics,4,20241215
142,CUST-000142,Hess-Wilson,Mid-Market,Healthcare,14,20250316
143,CUST-000143,"Hawkins, Zimmerman and Taylor",SMB,Healthcare,8,20240720
144,CUST-000144,Johnson-Conway,Enterprise,Government,2,20250414
145,CUST-000145,"Mathis, Baker and Davis",SMB,Manufacturing,2,20250224
146,CUST-000146,Anthony-Barker,Enterprise,Logistics,1,20240616
147,CUST-000147,Walsh PLC,Enterprise,Healthcare,2,20250201
148,CUST-000148,Williams Group,SMB,Government,11,20240721
149,CUST-000149,Velez Ltd,Mid-Market,Logistics,3,20241217
150,CUST-000150,"Lee, Hampton and Koch",Mid-Market,Retail,7,20241219
151,CUST-000151,Owens Inc,SMB,Logistics,5,20241017
152,CUST-000152,"Tucker, Hill and Ellis",Public Sector,Hospitality,5,20240614
153,CUST-000153,Cervantes and Sons,Mid-Market,Education,1,20241027
154,CUST-000154,Craig LLC,Enterprise,Education,4,20240823
155,CUST-000155,"Moore, Moore and West",Mid-Market,Healthcare,12,20240605
156,CUST-000156,"Lopez, Martinez and Pena",Mid-Market,Education,10,20250321
157,CUST-000157,"Kim, Brown and Mason",Mid-Market,Retail,2,20250306
158,CUST-000158,Johnson-Velasquez,SMB,Government,2,20240808
159,CUST-000159,Wright-Santos,SMB,Healthcare,8,20250314
160,CUST-000160,Baxter Ltd,SMB,Logistics,11,20240719
161,CUST-000161,"Meyer, Cowan and Wiggins",Public Sector,Hospitality,8,20250519
162,CUST-000162,Diaz-Duran,Public Sector,Education,11,20250223
163,CUST-000163,Schultz Ltd,Enterprise,Logistics,7,20241006
164,CUST-000164,Blankenship Inc,Public Sector,Hospitality,11,20250303
165,CUST-000165,Blanchard-Ruiz,Enterprise,Hospitality,12,20240606
166,CUST-000166,Aguilar LLC,Mid-Market,Healthcare,12,20250205
167,CUST-000167,"Garza, Meza and Rodriguez",Mid-Market,Retail,8,20250407
168,CUST-000168,Chen-Webb,Public Sector,Hospitality,3,20240806
169,CUST-000169,"Estrada, Rose and Strong",Public Sector,Government,12,20241117
170,CUST-000170,"Johnson, Burton and Dunn",SMB,Hospitality,3,20240819
171,CUST-000171,Hamilton-Harris,Mid-Market,Government,3,20250501
172,CUST-000172,Clark LLC,Enterprise,Government,7,20250304
173,CUST-000173,Lopez Inc,Mid-Market,Healthcare,9,20240610
174,CUST-000174,Wallace Group,Public Sector,Healthcare,14,20241027
175,CUST-000175,Perry-Fox,Mid-Market,Government,3,20240705
176,CUST-000176,Freeman and Sons,Public Sector,Government,12,20250222
177,CUST-000177,Randolph-Mejia,Mid-Market,Healthcare,14,20250309
178,CUST-000178,"Burke, Johnson and Shah",Mid-Market,Retail,13,20240924
179,CUST-000179,Graham-Moore,SMB,Government,3,20240628
180,CUST-000180,Crawford-Peterson,Mid-Market,Government,8,20250517
181,CUST-000181,Erickson-Olsen,Enterprise,Logistics,6,20250330
182,CUST-000182,Perez PLC,SMB,Education,2,20250202
183,CUST-000183,"Gutierrez, Carr and Castro",Mid-Market,Retail,8,20241012
184,CUST-000184,Rodriguez PLC,SMB,Government,8,20250226
185,CUST-000185,"Robinson, Santos and Fitzpatrick",SMB,Manufacturing,1,20250418
186,CUST-000186,"Williams, Peterson and Aguilar",Public Sector,Retail,7,20240913
187,CUST-000187,Davenport Group,SMB,Hospitality,2,20240915
188,CUST-000188,Landry LLC,SMB,Healthcare,3,20241211
189,CUST-000189,Everett PLC,Enterprise,Retail,6,20241231
190,CUST-000190,"Barnes, Rhodes and Nguyen",Mid-Market,Government,9,20240813
191,CUST-000191,Powers Inc,Mid-Market,Education,8,20240721
192,CUST-000192,Lyons Group,SMB,Hospitality,9,20250404
193,CUST-000193,Chen PLC,Enterprise,Hospitality,10,20241206
194,CUST-000194,Robertson and Sons,Mid-Market,Education,4,20250205
195,CUST-000195,Christensen-Beasley,Mid-Market,Logistics,3,20241210
196,CUST-000196,Hill Inc,SMB,Hospitality,3,20240926
197,CUST-000197,"Alvarez, White and Hawkins",SMB,Government,7,20250409
198,CUST-000198,Ramirez Group,Mid-Market,Government,2,20240725
199,CUST-000199,Mccoy-Allen,Mid-Market,Manufacturing,4,20250222
200,CUST-000200,Pierce-Sanchez,SMB,Retail,12,20240623
201,CUST-000201,Watson-Miranda,Mid-Market,Manufacturing,10,20240710
202,CUST-000202,Green and Sons,SMB,Hospitality,8,20240726
203,CUST-000203,Barker and Sons,Public Sector,Logistics,4,20250217
204,CUST-000204,"Graham, Williams and Taylor",SMB,Retail,13,20250513
205,CUST-000205,Robbins Ltd,Mid-Market,Education,11,20250419
206,CUST-000206,Copeland PLC,Enterprise,Government,9,20250112
207,CUST-000207,James Inc,SMB,Healthcare,11,20250129
208,CUST-000208,"Short, Peterson and Nixon",SMB,Manufacturing,9,20240909
209,CUST-000209,"Dominguez, Powers and Huang",Mid-Market,Hospitality,2,20241019
210,CUST-000210,Hunt-Stevens,Public Sector,Hospitality,11,20250130
211,CUST-000211,Walker Group,SMB,Logistics,9,20240706
212,CUST-000212,Ortiz Inc,Mid-Market,Retail,5,20250420
213,CUST-000213,"Burns, Norris and Richardson",Mid-Market,Manufacturing,6,20250309
214,CUST-000214,Sanchez-Conner,Mid-Market,Education,6,20241208
215,CUST-000215,Mccarthy and Sons,Mid-Market,Education,4,20241011
216,CUST-000216,Harper-Mullins,SMB,Education,14,20240929
217,CUST-000217,Flores-Miller,SMB,Education,12,20250109
218,CUST-000218,Caldwell-Fowler,SMB,Hospitality,3,20250114
219,CUST-000219,"Chavez, Jackson and French",Public Sector,Government,13,20250422
220,CUST-000220,Brown Ltd,Public Sector,Hospitality,10,20250305
221,CUST-000221,Richardson Ltd,Public Sector,Retail,5,20240607
222,CUST-000222,Moody-Schmidt,SMB,Manufacturing,6,20250119
223,CUST-000223,"Jones, Tanner and Graves",SMB,Healthcare,11,20241120
224,CUST-000224,Ware Ltd,Public Sector,Retail,9,20250122
225,CUST-000225,Cervantes-Lynch,Public Sector,Education,9,20241220
226,CUST-000226,Smith Ltd,Enterprise,Manufacturing,2,20250410
227,CUST-000227,Hays-Jenkins,Mid-Market,Government,9,20241206
228,CUST-000228,Hodges Group,Enterprise,Education,13,20241021
229,CUST-000229,Liu-Howard,Public Sector,Government,3,20241012
230,CUST-000230,Werner and Sons,SMB,Hospitality,6,20241209
231,CUST-000231,"Smith, Martin and Barron",Mid-Market,Healthcare,12,20241026
232,CUST-000232,"Quinn, Arroyo and Jenkins",SMB,Government,14,20250426
233,CUST-000233,Franco Inc,Mid-Market,Education,7,20250330
234,CUST-000234,Fry-Rios,Mid-Market,Healthcare,12,20240616
235,CUST-000235,"Moran, Cannon and Gutierrez",Mid-Market,Government,8,20240609
236,CUST-000236,"Henry, Kennedy and Ramos",SMB,Government,2,20250118
237,CUST-000237,Velazquez-Shaw,Public Sector,Government,5,20240728
238,CUST-000238,May and Sons,Public Sector,Government,5,20250520
239,CUST-000239,"Turner, Nichols and Lewis",SMB,Hospitality,1,20240604
240,CUST-000240,Abbott-Wang,Mid-Market,Retail,2,20241228
241,CUST-000241,Gray-Clayton,Mid-Market,Education,13,20250314
242,CUST-000242,Sanchez-Martinez,Mid-Market,Government,6,20240718
243,CUST-000243,"Miller, Harris and Jackson",Enterprise,Education,3,20240609
244,CUST-000244,Bowman-Thomas,Public Sector,Manufacturing,12,20250410
245,CUST-000245,Thomas-Thompson,SMB,Education,7,20250505
246,CUST-000246,Smith-Hill,Enterprise,Healthcare,1,20250131
247,CUST-000247,"Hawkins, Miranda and Martin",Public Sector,Government,10,20250509
248,CUST-000248,"Mack, Diaz and Wright",SMB,Hospitality,2,20241229
249,CUST-000249,Cervantes and Sons,Mid-Market,Retail,12,20250129
250,CUST-000250,Frank Inc,SMB,Retail,6,20241108
251,CUST-000251,Avila-Dixon,SMB,Education,11,20240830
252,CUST-000252,Campbell Inc,SMB,Manufacturing,5,20250312
253,CUST-000253,Carpenter Inc,SMB,Education,10,20250109
254,CUST-000254,Butler-Lee,SMB,Hospitality,6,20250208
255,CUST-000255,Jones-Johnson,Mid-Market,Hospitality,7,20241003
256,CUST-000256,Alvarez-Harrington,Enterprise,Government,10,20240714
257,CUST-000257,"Stewart, Lopez and Baker",SMB,Education,3,20250214
258,CUST-000258,Nolan-Francis,Mid-Market,Logistics,3,20240609
259,CUST-000259,"Sosa, West and Smith",Mid-Market,Hospitality,3,20240920
260,CUST-000260,"Taylor, Stout and Curtis",SMB,Healthcare,6,20241020
261,CUST-000261,Anderson PLC,SMB,Manufacturing,4,20250202
262,CUST-000262,"Eaton, Collins and Watkins",Enterprise,Manufacturing,13,20250423
263,CUST-000263,"Porter, Davis and Daniels",Mid-Market,Education,4,20240821
264,CUST-000264,Ross-Clark,SMB,Hospitality,4,20240602
265,CUST-000265,"Simmons, Jackson and Bowers",SMB,Healthcare,8,20241128
266,CUST-000266,"Gonzales, Davidson and Elliott",SMB,Education,5,20240624
267,CUST-000267,Ellison-Collins,Enterprise,Manufacturing,2,20250120
268,CUST-000268,Horne LLC,Mid-Market,Education,10,20241124
269,CUST-000269,Riley Ltd,Enterprise,Healthcare,4,20241205
270,CUST-000270,Schroeder Group,Mid-Market,Hospitality,9,20241109
271,CUST-000271,Hurley-Chen,Enterprise,Manufacturing,5,20250104
272,CUST-000272,"Richards, Jones and Briggs",Mid-Market,Retail,12,20250107
273,CUST-000273,Floyd Ltd,Public Sector,Retail,10,20240609
274,CUST-000274,"Lopez, Coleman and Cook",SMB,Manufacturing,3,20250204
275,CUST-000275,"Riley, Estrada and Rosales",SMB,Hospitality,1,20240807
276,CUST-000276,Carroll-Clark,Mid-Market,Government,7,20241107
277,CUST-000277,Hinton-Baker,SMB,Education,12,20250211
278,CUST-000278,"Johnson, Ellison and Kelly",SMB,Education,9,20241228
279,CUST-000279,Stewart-Walker,Mid-Market,Education,9,20250105
280,CUST-000280,Cobb-Hess,Mid-Market,Hospitality,13,20241014
281,CUST-000281,"Page, Golden and Ramirez",SMB,Retail,1,20250425
282,CUST-000282,Castillo-Bailey,Mid-Market,Hospitality,7,20241107
283,CUST-000283,Coleman-Munoz,Mid-Market,Hospitality,6,20240927
284,CUST-000284,Thomas and Sons,SMB,Government,1,20240919
285,CUST-000285,"Jordan, Olson and White",Mid-Market,Hospitality,11,20250211
286,CUST-000286,Orozco-Gates,SMB,Retail,2,20240818
287,CUST-000287,Gibbs and Sons,SMB,Healthcare,13,20250307
288,CUST-000288,Scott PLC,SMB,Education,2,20250104
289,CUST-000289,"Velasquez, Dodson and Fitzpatrick",SMB,Government,10,20250511
290,CUST-000290,Stein Inc,SMB,Hospitality,3,20241103
291,CUST-000291,Morgan PLC,SMB,Education,4,20241022
292,CUST-000292,Mitchell LLC,Public Sector,Logistics,10,20250423
293,CUST-000293,"Contreras, Harris and Cruz",Enterprise,Education,6,20250111
294,CUST-000294,Gregory-Davis,Mid-Market,Hospitality,4,20250126
295,CUST-000295,Davis Group,SMB,Hospitality,9,20250512
296,CUST-000296,Moran PLC,SMB,Logistics,4,20241228
297,CUST-000297,Brown-Lewis,Mid-Market,Logistics,7,20241026
298,CUST-000298,Carson-Kennedy,Mid-Market,Manufacturing,5,20240903
299,CUST-000299,Cooper LLC,Enterprise,Education,9,20250107
300,CUST-000300,Horton-Smith,Mid-Market,Healthcare,3,20250317
301,CUST-000301,Gardner-Johnson,SMB,Hospitality,14,20240603
302,CUST-000302,"Hamilton, Wood and Ward",SMB,Education,1,20241010
303,CUST-000303,"Miller, Simmons and Brown",Enterprise,Manufacturing,14,20240708
304,CUST-000304,Martin-Giles,Public Sector,Hospitality,14,20240613
305,CUST-000305,Herrera and Sons,Public Sector,Healthcare,2,20241121
306,CUST-000306,Harper-Moore,Enterprise,Manufacturing,4,20241024
307,CUST-000307,Bush Ltd,Public Sector,Manufacturing,11,20240620
308,CUST-000308,Wright-Lamb,Mid-Market,Retail,6,20250514
309,CUST-000309,Brown-Morgan,Enterprise,Logistics,4,20240716
310,CUST-000310,King-Bowers,Public Sector,Education,12,20250522
311,CUST-000311,Perez-Boyd,Public Sector,Logistics,1,20240719
312,CUST-000312,Rios-White,Mid-Market,Retail,14,20250317
313,CUST-000313,Moore-Compton,Mid-Market,Education,6,20250122
314,CUST-000314,Ferguson LLC,Mid-Market,Government,1,20250209
315,CUST-000315,"Stewart, Hart and Hooper",SMB,Healthcare,3,20250109
316,CUST-000316,Collins Group,Mid-Market,Retail,6,20240606
317,CUST-000317,Payne-Walters,SMB,Logistics,7,20240824
318,CUST-000318,Jacobs-Mclaughlin,Enterprise,Logistics,3,20240825
319,CUST-000319,Gonzalez-Mcguire,Enterprise,Manufacturing,3,20250126
320,CUST-000320,Williams Group,SMB,Education,3,20240612
321,CUST-000321,"Perkins, Mcdonald and Martinez",SMB,Government,6,20241006
322,CUST-000322,"Miller, Lopez and Leonard",Mid-Market,Logistics,1,20240816
323,CUST-000323,Daniel-Hoffman,Mid-Market,Retail,5,20240915
324,CUST-000324,Matthews-Haley,SMB,Retail,4,20250223
325,CUST-000325,Aguirre-Johnson,SMB,Government,6,20240901
326,CUST-000326,Mcdonald LLC,SMB,Education,10,20240924
327,CUST-000327,Allen Group,SMB,Logistics,9,20241109
328,CUST-000328,"Moore, Buchanan and Esparza",Public Sector,Manufacturing,7,20240724
329,CUST-000329,Blair Ltd,Mid-Market,Retail,5,20250308
330,CUST-000330,Marshall-Scott,Mid-Market,Government,7,20250407
331,CUST-000331,Evans PLC,Enterprise,Logistics,14,20250120
332,CUST-000332,Owens-Waters,Enterprise,Hospitality,13,20240815
333,CUST-000333,Luna-Barnett,Enterprise,Retail,9,20250325
334,CUST-000334,"Brennan, Elliott and Walker",Mid-Market,Hospitality,3,20240813
335,CUST-000335,"Haas, Branch and Lopez",Public Sector,Healthcare,5,20240905
336,CUST-000336,"Fields, Hunt and Compton",Enterprise,Manufacturing,7,20250228
337,CUST-000337,Lewis LLC,SMB,Hospitality,14,20241226
338,CUST-000338,Shields Ltd,SMB,Manufacturing,5,20240619
339,CUST-000339,Ward-Morgan,Public Sector,Retail,14,20241113
340,CUST-000340,Shaffer and Sons,Enterprise,Manufacturing,7,20250405
341,CUST-000341,Oconnor Ltd,Enterprise,Hospitality,11,20240726
342,CUST-000342,Mills Inc,SMB,Hospitality,12,20241111
343,CUST-000343,Erickson Inc,Mid-Market,Logistics,1,20240806
344,CUST-000344,Stevenson-Leblanc,Mid-Market,Manufacturing,8,20250125
345,CUST-000345,Humphrey LLC,SMB,Retail,12,20241221
346,CUST-000346,"Davis, Smith and Deleon",SMB,Hospitality,11,20241028
347,CUST-000347,Christian PLC,SMB,Education,8,20250507
348,CUST-000348,Cummings-Mendez,Public Sector,Manufacturing,3,20250518
349,CUST-000349,"Jones, Blair and Koch",SMB,Manufacturing,9,20240914
350,CUST-000350,"Ingram, Tran and Choi",Mid-Market,Logistics,2,20240914
351,CUST-000351,Jones-Mullins,SMB,Logistics,6,20240620
352,CUST-000352,Banks-Goodwin,Mid-Market,Healthcare,13,20240627
353,CUST-000353,Lee-Cox,Enterprise,Government,14,20250425
354,CUST-000354,Deleon-Gutierrez,SMB,Manufacturing,13,20240607
355,CUST-000355,"Nguyen, David and Fletcher",Public Sector,Healthcare,12,20240912
356,CUST-000356,Castillo-Scott,SMB,Healthcare,6,20240614
357,CUST-000357,"Johnson, Hunt and Cooper",Public Sector,Logistics,12,20240718
358,CUST-000358,Pierce-Barnes,Enterprise,Logistics,13,20240803
359,CUST-000359,"Fletcher, Nelson and Day",Public Sector,Manufacturing,7,20250401
360,CUST-000360,Weaver Group,SMB,Hospitality,11,20240708
361,CUST-000361,Carter-Carpenter,SMB,Education,11,20250221
362,CUST-000362,Thomas-Davis,SMB,Manufacturing,5,20241006
363,CUST-000363,"Carson, Ruiz and Harper",Mid-Market,Education,13,20250501
364,CUST-000364,Turner Inc,Mid-Market,Hospitality,13,20241019
365,CUST-000365,"Valencia, Turner and Watkins",Enterprise,Logistics,9,20241227
366,CUST-000366,Barnett-Dillon,SMB,Retail,2,20250515
367,CUST-000367,"Taylor, Mccoy and Berry",Mid-Market,Logistics,12,20250205
368,CUST-000368,"Matthews, Evans and Cervantes",Mid-Market,Logistics,11,20250214
369,CUST-000369,Stewart Ltd,Enterprise,Manufacturing,11,20241124
370,CUST-000370,Dixon LLC,Enterprise,Manufacturing,12,20250101
371,CUST-000371,Franco-Lawrence,Mid-Market,Government,5,20250122
372,CUST-000372,Parker PLC,SMB,Healthcare,9,20240916
373,CUST-000373,"Perry, Combs and Porter",Mid-Market,Logistics,4,20250325
374,CUST-000374,"Wright, Henry and Serrano",SMB,Retail,3,20250530
375,CUST-000375,Gallegos PLC,Enterprise,Manufacturing,14,20250127
376,CUST-000376,"Gray, Rice and Gonzalez",Enterprise,Education,5,20240907
377,CUST-000377,Kim-Chapman,Enterprise,Hospitality,8,20241102
378,CUST-000378,Chaney-Williams,Mid-Market,Manufacturing,8,20250509
379,CUST-000379,Sanchez Inc,Public Sector,Manufacturing,9,20240808
380,CUST-000380,Larson-Allen,Public Sector,Government,10,20241113
381,CUST-000381,"Schmidt, Johnson and Olson",Public Sector,Manufacturing,1,20241101
382,CUST-000382,Ho-Cooke,SMB,Hospitality,4,20241110
383,CUST-000383,Mcdonald-Cox,SMB,Government,1,20250217
384,CUST-000384,Harper-Brown,SMB,Hospitality,6,20241010
385,CUST-000385,Hawkins Ltd,SMB,Manufacturing,13,20240917
386,CUST-000386,French-Wilson,Mid-Market,Hospitality,9,20250305
387,CUST-000387,"Castillo, Greene and Stewart",Mid-Market,Hospitality,2,20250211
